reg_no,facility_name,facility_type,facility_agent,level,county
18315,DAONI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
18358,TIONYCARE HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,BARINGO
18531,KAISOOB MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
18588,HARRIBOI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
18673,PIVICS PHARMACEUTICALS CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
18790,MAMO MEMORIAL HOSPITAL,NURSING HOME,Private,LEVEL 3B,BARINGO
18918,RAVINE SPECIALISTS HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,BARINGO
19106,NAKAJA MEDICAL DIAGNOSTIC CENTRE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
19112,RAVINE GLORY HOSPITAL LIMITED-MOGOTIO TOWN,HOSPITAL LEVEL 4,Private,LEVEL 4,BARINGO
19324,SOBON SERENITY CENTRE-BARINGO LIMITED,NURSING HOME,Private,LEVEL 3B,BARINGO
19426,LYNX SPECIALIST MEDICAL CENTRE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
19476,KERIO HOSPITAL-MARIGAT BRANCH,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
19812,SAOS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
20541,EQUITY AFIA KABARNET MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
20807,ELICARE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
21054,KABIMOI CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
18001,SAN JOSEPH MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
6266,CHELYMO MEDICAL CENTRE,HOSPITAL LEVEL 4,Private,LEVEL 4,BOMET
7037,LEGACY FAMILY HEALTH OPTION,MEDICAL CLINIC,Private,LEVEL 2,BOMET
7081,TEXASCOLES MEDICAL CLINIC BOMET,MEDICAL CLINIC,Private,LEVEL 2,BOMET
8761,SILOAM HOSPITAL LTD BOMET,NURSING HOME,Private,LEVEL 3B,BOMET
14947,PHILGRACE MEDICARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
15026,NEERA DENTAL CENTRE LIMITED,DENTAL CENTRE,Private,LEVEL 3A,BOMET
15085,BROOKLYN MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BOMET
15703,THE AGA KHAN HEALTH SERVICES KENYA-BOMET MEDICAL C,MEDICAL CENTRE,Private,LEVEL 3A,BOMET
16011,KING DAVIDS MEDIDENT CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
16090,DANMOSON OASIS MEDICAL & DIAGNOSTIC CENTRE LIMITE,MEDICAL CENTRE,Private,LEVEL 3A,BOMET
16518,YOUR FAMILY CLINICS - SILIBWET,MEDICAL CENTRE,Private,LEVEL 3A,BOMET
17476,SINENDET TEA MULTI-PURPOSE COOPERATIVE SOCIETY LIMI,MEDICAL CLINIC,Private,LEVEL 2,BOMET
18107,DAVISLUKE MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,BOMET
18472,ELEOS MEDICAL CENTRE-KAPLONG,MEDICAL CLINIC,Private,LEVEL 2,BOMET
18738,TARIGO MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
18889,FACILE -GLOBAL MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
19252,SAMRUKI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
19313,KATARET MEDCARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
19317,JOANEB MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
19377,TEMBWO MEMORIAL MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
19386,STONMED MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
19478,CHEBUNYO HIGHWAY MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BOMET
19729,REXUS MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BOMET
19767,RIPARIAN MEDICAL CLINICS,MEDICAL CLINIC,Private,LEVEL 2,BOMET
19896,NEVADA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
20006,TEXASCOLES MEDICAL CENTRE-CHEBOLE,MEDICAL CENTRE,Private,LEVEL 3A,BOMET
20299,RONNEX MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BOMET
20369,ST MARK JUST HOSPITAL MULOT LIMITED,NURSING HOME,Private,LEVEL 3B,BOMET
20758,TOLOYTA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BOMET
21082,CHEPTUR HEALTH SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,BOMET
475,NEW ELGON VIEW MEDICAL  COTTAGE,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
577,NAKHABI MEDICAL SERVICE KAMUKUYWA,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
640,MACHWELE FRIENDS DISPENSARY,FAITH BASED DISPEN,Private,LEVEL 2,BUNGOMA
723,DANMED MEDICAL SERVICES LTD,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
2868,NZOIA MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,BUNGOMA
3268,THE AGA KHAN HOSPITAL BUNGOMA,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
3310,BUNGOMA WEST HOSPITAL,HOSPITAL LEVEL 5,Private,LEVEL 5,BUNGOMA
3875,KHALABA MEDICAL SERVICES,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
5031,BUNGOMA WEMA CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
5709,NOMAD DENTAL CENTRE WEBUYE,DENTAL CLINIC,Private,LEVEL 2,BUNGOMA
6009,EBENEZER MEDICAL CENTRE BRIGADIA,NURSING HOME,Private,LEVEL 3B,BUNGOMA
6269,ST. JAMES OPTICALS,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
6351,KANDUYI HEALTH CENTRE,HEALTH CENTRE,Private,LEVEL 3B,BUNGOMA
6504,TRINITY OPTICALS LTD,EYE CLINIC,Private,LEVEL 2,BUNGOMA
6914,BLISS HEALTHCARE LIMITED KIMILILI,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
7125,BLISS HEALTHCARE LTD WEBUYE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
7256,NABUALA HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
7275,NZOIA MEDICAL CENTRE - CHWELE,NURSING HOME,Private,LEVEL 3B,BUNGOMA
7319,FOUNTAIN HEALTHCARE LTD BUNGOMA,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
7913,MPELI MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
7994,LIFECARE HOSPITALS BUNGOMA LTD,Hospital Level 5,Private,LEVEL 5,BUNGOMA
8638,ZION MEDICAL CENTRE - BUNGOMA LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
14308,FRIENDS CHWELE MISSION DISPENSARY,FAITH BASED DISPEN,Private,LEVEL 2,BUNGOMA
14511,KAMUSINGA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
14576,NAMWAYA FAITH MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
14586,SPICAS MEDICAL CENTRE LTD,NURSING HOME,Private,LEVEL 3B,BUNGOMA
14607,KHAMULATI MEDICAL SERVICES,NURSING HOME,Private,LEVEL 3B,BUNGOMA
14848,HELREN HEALTHCARE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
14912,OPTIMUM HILL MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,BUNGOMA
14974,KORY FAMILY HOSPITAL KIMILILI,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
15015,BUNGOMA WEST HOSPITAL TOWN ANNEX BRANCH,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
15041,CHEBON MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
15233,BRILLIAN DOCTORS PLAZA HOSPITAL,NURSING HOME,Private,LEVEL 3B,BUNGOMA
15338,TUMAINI BRIGADIER MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
15603,MERCAL HEALTHCARE BUKEMBE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
15642,THE DAWAMEDS HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
15675,CHRIZAH MEDICAL CLINIC LIMITED,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
15751,GLOBAL HOMECARE LTD MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
15827,SPRINGWELL MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
15859,SIKOTIA MEDICAL CENTER,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
15945,HIGHWAY DIAGNOSTIC CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
15953,HEALRIDGE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
16211,MANGS HEALTH CARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
16315,VALLECULA MEDICARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
16331,LUKOYE HEALTHCARE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
16452,CALVARY HOPE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
16592,KARAMBUNA MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
16770,RAYTONS FAMILY MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
16868,WANDA MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,BUNGOMA
16880,THE HOPKINS CRESCENT HOSPITALS LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
16979,BUNGOMA CHILDREN\'S CLINIC LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
17042,SAINT JUDE THADDEO MABANGA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
17065,BUCKNER FAMILY HOPE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
17094,JERUSALEM MEDICAL CENTRE LTD,NURSING HOME,Private,LEVEL 3B,BUNGOMA
17319,OASIS DOCTORS PLAZA WEBUYE LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
17320,PARADISE MEDICAL CENTRE -CHEPTAIS,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
17365,MAENDELEO HEALTH SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
17437,NAITIRI JAMBO MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
17440,MKUYNI HIGHWAYS MEDICARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
17448,KIMU MEMORIAL HOSPITAL BAHAI,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
17695,MWELLA HEALTHCARE CENTER,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
17721,KAPSOKWONY FAMILYCARE MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
17798,TRANSELGON HEALTHCARE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
17909,SKOVIC HEALTH CARE SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
17976,BENGLAD FAMILY CARE CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
18074,MAXICARE SUNRISE LIMITED HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
18095,SANG\'ALO MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
18103,RASSH MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
18117,GRASSROOT COMMUNITY HEALTHCARE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
18291,CHWELE SIKUSI KATTI MEDICAL CARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
18308,ALMER MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
18396,THE DAWAMEDS HOSPITAL LIMITED-SIRISIA,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
18430,BAPTIST MEDICAL CENTRE-CHWELE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
18548,BUNGOMA ADORAH CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
18612,AFYA SPACE CONSULTANCY LTD,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
19097,BALCURT MEDICAL CENTRE-BUNGOMA,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
19098,DELIGHTS FUNERAL HOME,FUNERAL HOME (STA,Private,LEVEL 3A,BUNGOMA
19125,ROZAJEM MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
19256,AL-IHSAAN HEALTH CENTRE KIMAETI,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
19348,CONNECTION HEALTH SERVICES LIMITED,NURSING HOME,Private,LEVEL 3B,BUNGOMA
19427,SELVINE MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
19449,ST.PAULS KIBABII TTC MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
19493,THE WEBUYE HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,BUNGOMA
19511,KIMWANGA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
19550,SAMARITAN EYE & RETINA CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
19551,TRANSELGON HEALTHCARE LTD - CHEPTAIS,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
19632,"MEDISAN MEDICAL CENTER,BUKEMBE",MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
19638,MORIMED MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
19655,CHWELE FOUNTAIN HOSPITAL LTD,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
19656,SKOVIC HEALTH CARE SERVICES LTD - KOPSIRO,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
19816,MELITA MEDICAL CENTER,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
19820,PHINAL COMMUNITY MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
19876,BUNGOMA DENTAL & EYE CARE CENTRE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
19916,SILOWAT MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
19933,ELEPHANT DENTAL LIMITED-BUNGOMA,DENTAL CLINIC,Private,LEVEL 2,BUNGOMA
19952,EQUITY AFIA LIMITED- BUNGOMA MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
19984,SAINT MAE MATERNITY HOME,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
20054,MAJABU MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
20174,ST ANNA HOSPITAL WEBUYE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
20200,ELIANE ROYAL HOSPITAL LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
20215,CYFAR MEDICAL,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
20217,EVENING MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
20223,RIMAKEBO MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
20239,AGA KHAN HOSPITAL KIMILILI,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
20410,TRANSELGON HEALTHCARE LIMITED-BUNGOMA,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
20540,CHONGEWA HEALTH CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
20767,RACIA HOSPITAL,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
20810,DISHON MEDICAL CLINIC CHEBUKAKA,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
20975,CHAD MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
21046,NIROCK HEALTH CARE,MEDICAL CENTRE,Private,LEVEL 3A,BUNGOMA
21057,KEMIFAV MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
21069,MYANGA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
21100,OLYMPIA MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUNGOMA
50,ST. JUDES  DISPENSARY  CATHOLIC DIOCESE OF BUNGOMA,DISPENSARY,Private,LEVEL 2,BUSIA
225,TANAKA NURSING HOME BUSIA,HOSPITAL LEVEL 4,Private,LEVEL 4,BUSIA
318,NEW BUSIA MATERNITY & NURSING HOME,HOSPITAL LEVEL 4,Private,LEVEL 4,BUSIA
1419,FAHELMA CFW COMMUNITY CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
1757,VIOCALS COMMUNITY HEALTH CENTRE,HEALTH CENTRE,Private,LEVEL 3B,BUSIA
1961,BUMALA CFW CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
1963,BUGENGI CFW CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
1969,NAMENYA CFW CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
2415,PESI MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,BUSIA
2815,THE AGA KHAN HOSPITAL -  BUSIA,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
3866,FEITH MEDICAL CLINIC BUSIA,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
3916,BUSIA EQUATOR CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
4268,PYNET HEALTHCARE LIMITED,NURSING HOME,Private,LEVEL 3B,BUSIA
4434,ACK BUKUYUDI PARISH CLINIC,FAITH BASED DISPEN,Private,LEVEL 2,BUSIA
5528,APPEX HOSPITAL,NURSING HOME,Private,LEVEL 3B,BUSIA
5615,MARACHI HEALTHCARE,NURSING HOME,Private,LEVEL 3B,BUSIA
5833,BUSIA BASE BOARDER FAITH MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,BUSIA
5943,CENTRE VIEW MEDICAL HEALTHCARE,NURSING HOME,Private,LEVEL 3B,BUSIA
6147,AKITES HEALTHCARE KENYA,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
6386,BUSIA DENTAL SOLUTIONS,DENTAL CLINIC,Private,LEVEL 2,BUSIA
6656,PYNET HEALTHCARE ADUNGOSI,NURSING HOME,Private,LEVEL 3B,BUSIA
7005,STIRLING HEALTHCARE CONSULTANTS,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
7211,BUSIA HEALTHSIDELAB MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
7367,BUNYALA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
7533,STIRLING MEDICAL CENTRE,NURSING HOME,Private,LEVEL 3B,BUSIA
7535,OPTEX OPTICIANS LTD - BUSIA,EYE CLINIC,Private,LEVEL 2,BUSIA
14441,VISIONGATE EYE CARE CONSULTANT,EYE CLINIC,Private,LEVEL 2,BUSIA
14771,MATIBABU AMASAASE MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
14999,MINALLAHI MEDICARE,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
15097,BLISS  HEALTHCARE LTD BUSIA,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
15151,AMANE COTTAGE HOSPITAL,COTTAGE HOSPITAL,Private,LEVEL 3B,BUSIA
15240,WEST SIDE HEALTHCARE MALABA,COTTAGE HOSPITAL,Private,LEVEL 3B,BUSIA
15475,EMORMOR VICTORY MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
15554,LUMOLA MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
15596,NASSI HOSPITALS,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
15832,MEDSPAR MEDICAL CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
15994,TURNING POINT MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
16193,BUSIA MEDICAL SPECIALISTS AND DIAGNOSTIC CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
16389,ALABAMA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
16568,BRILLIANCE CARE MEDICAL HOSPITAL,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
17017,GANGA CFW CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
17185,BUMALA UZIMA CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
17732,LEBEN MEDICAL SERVICE-BUSIBWABO,NURSING HOME,Private,LEVEL 3B,BUSIA
17783,TOMAPS MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
17921,GOOD HOPE HEALTH  LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,BUSIA
17983,COMFY HEALTHCARE LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
18215,ISEGERE TOTO CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
18361,HELINA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
18466,RAIMU HOSPITAL LIMITED-MALABA,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
18521,ST.JAMES INFIRMARY BUSIA LIMITED,NURSING HOME,Private,LEVEL 3B,BUSIA
18536,TANAJA HOSPITAL LIMITED,NURSING HOME,Private,LEVEL 3B,BUSIA
18613,OASIS DOCTORS PLAZA BUSIA LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
18937,MARACHI AFIA BORA HEALTH CARE,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
19015,THE DAWAMEDS HOSPITAL LIMITED-AMUKURA,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
19231,CARDINAL NURSING HOME LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
19326,BLOSSOM DENTAL CLINIC LTD,DENTAL CLINIC,Private,LEVEL 2,BUSIA
19380,BUSIRE ALFAA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
19609,ROYAL SMILES DENTAL CLINIC LIMITED-MALABA,DENTAL CLINIC,Private,LEVEL 2,BUSIA
20042,NALAME MEDICAL CLINIC,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
20069,ESIKOMA COMMUNITY HOSPITAL,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
20131,ALINACARE HEALTH SERVICES,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
20214,KALLENICE HEALTHCARE SUBA LIMITED,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
20236,CHALONDRA HEALTHCARE CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
20263,HEART CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
20363,ALIJAY MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
20386,BULWANI PRIVATE HOSPITAL LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BUSIA
20670,MWEIN MEDICAL SERVICES,MEDICAL CLINIC,Private,LEVEL 2,BUSIA
