facility_name,reg_no,facility_type,level,county,status
AAR EMBAKASI OUTPATIENT CENTRE,003xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
AAR HEALTH CARE (KENYA) LIMITED - THIKA OPC,021xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
AAR HEALTH CARE CITY CENTRE,000xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AAR HEALTH CARE ONGATA RONGAI OUTPATIENT CENTRE,018xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
AAR HEALTH CARE(KENYA) LIMITED-BAMBURI,020xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
AAR HEALTH CARE(KENYA) LIMITED-KAMAKIS OUTPATIENT CENTRE,021xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
AAR HEALTH CARE(KENYA) LIMITED-KISII OUTPATIENT CENTRE,020xxx,MEDICAL CENTRE,LEVEL 3B,KISII,ACTIVE
AAR HEALTH CARE(KENYA) LIMITED-MERU OUTPATIENT CENTRE,020xxx,MEDICAL CENTRE,LEVEL 3B,MERU,ACTIVE
AAR HEALTH CARE(KENYA) LIMITED-NAKURU SECTION 58,021xxx,MEDICAL CENTRE,LEVEL 3B,NAKURU,ACTIVE
AAR HEALTH CENTRE SARIT CENTRE,001xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
AAR HEALTH SERVICES HEALTH CARE -MOMBASA,000xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
AAR HEALTH SERVICES KISUMU,000xxx,HEALTH CENTRE,LEVEL 3A,KISUMU,ACTIVE
AAR HEALTH SERVICES NAKURU,000xxx,HEALTH CENTRE,LEVEL 3A,NAKURU,ACTIVE
AAR HEALTHCARE (K) LTD RUAKA OUTPATIENT CENTRE,005xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
AAR HEALTHCARE KENYA LTD BURUBURU OPC,014xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AAR HEALTHCARE LIMITED-MOBILE CLINIC,019xxx,MOBILE CLINIC,LEVEL 2,NAIROBI,ACTIVE
AAR HEALTHCARE SERVICES SYOKIMAU OUTPATIENT CENTRE,016xxx,MEDICAL CENTRE,LEVEL 3B,MACHAKOS,ACTIVE
AAR HEALTHCARE(K) LIMITED-KITENGELA OUTPATIENT CENTRE,006xxx,MEDICAL CENTRE,LEVEL 3B,KAJIADO,ACTIVE
AAR HEALTHCARE(K) LTD NGONG OUTPATIENT,005xxx,HEALTH CENTRE,LEVEL 3A,KAJIADO,ACTIVE
AAR HEALTHCARE(K) LTD-SOUTH C OUTPATIENT CENTRE,016xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AAR HEALTHCARE(K) LTD-UNITED MALL KISUMU OUT PATIENT CENTRE,020xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
AAR HEALTHCARE(KENYA) LIMITED-UTAWALA OUTPATIENT CENTRE,020xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AAR HOSPITAL LIMITED MUTHAIGA,018xxx,HOSPITAL LEVEL 5,LEVEL 5,NAIROBI,ACTIVE
AAR KAREN HEALTH CENTRE,003xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AAR LAVINGTON OUTPATIENT CENTRE,016xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AAR MOUNTAIN MALL OUTPATIENT CENTRE,004xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AAR THIKA ROAD HEALTH CENTER,001xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
AAR WILLIAMSON HOUSE HEALTH CENTRE,000xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
AASIF MEDICAL AND HEALTH SERVICES LIMITED,023xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
ABABOSONE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MANDERA,ACTIVE
ABADAN MEDICAL CENTER LTD,024xxx,MEDICAL CENTRE,LEVEL 3B,NAROK,ACTIVE
ABAKAILE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,GARISSA,ACTIVE
ABAKORE NURSING HOME LIMITED,000xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
ABAKORE SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,WAJIR,ACTIVE
ABALA HEALTHCARE LIMITED,019xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
ABAQALAAN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,GARISSA,ACTIVE
ABAQDERE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
ABBACARE MEDICAL CLINIC,023xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
ABC KAIANI COMMUNITY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
ABDALLAH AND ASSOCIATES DENTAL AND IMPLANT CENTRE,008xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
ABDIGAANEY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
ABDILLE GAP DISPENASRY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
ABDISAMIT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,GARISSA,ACTIVE
ABDIWAQO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
ABDUL-AZIZ MEDICAL CENTRE,020xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
ABERDARE CLINIC,003xxx,MEDICAL CLINIC,LEVEL 2,TURKANA,ACTIVE
ABERDARE MEDICAL CENTRE,005xxx,MEDICAL CLINIC,LEVEL 2,MURANG'A,ACTIVE
ABICOM MEDICAL CENTER,020xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
ABIDHA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,SIAYA,ACTIVE
ABIKASHIRO MEDICAL CENTRE LTD,024xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
ABILITY THERAPY PLACE CLINIC,017xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ABIMA HEALTH SERVICES,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ABM SPECIALIZED HOSPITAL,020xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
ABOGE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
ABOGETA WEST DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
ABOLOI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
ABORE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
ABRAAR HOSPITAL LIMITED,021xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
ABRAR HEALTH SERVICES BANISSA,006xxx,NURSING HOME,LEVEL 3A,MANDERA,INACTIVE
ABRAR HEALTH SERVICES LIMITED,002xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
ABRAR HEALTH SERVICES MANDERA LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
ABSALOM WANGULU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
ABSOLUTE DENTAL LIMITED,006xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ABUBAKAR SIDIQ NURSING HOME,019xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
ABULO MEDICAL CENTRE LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
ABUU AMIRA NURSING HOME,020xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
ABYAN HOSPITAL LIMITED,021xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
ACACIA MEDICAL CLINIC,003xxx,MEDICAL CLINIC,LEVEL 2,NANDI,ACTIVE
ACC & S KARIUA DISPENSARY,001xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
ACC & S KIGUMO DISPENSARY,004xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
ACCESS AFYA KENYA LIMITED BABA DOGO CLINIC,017xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ACCESS AFYA KIAMBIU,006xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,INACTIVE
ACCESS AFYA KWA REUBEN CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ACCESS AFYA LIMITED MUKURU,002xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ACCESS AFYA LTD SINAI,003xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ACCUCARE CLINIC AND HOME BASED NURSING,017xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
ACCURATE CHILDREN AND FAMILY HEALTHCARE LIMITED,020xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
ACE MEDICAL SERVICES LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ACE MEDICAL SERVICES LIMITED-KERUGOYA TOWN,021xxx,MEDICAL CENTRE,LEVEL 3B,KIRINYAGA,ACTIVE
ACE NORTHERN HOSPITAL LTD,179xxx,NURSING HOME,LEVEL 3A,MOMBASA,ACTIVE
ACEDENTAL CARE NAIROBI,020xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
ACEF ENA HEALTH CENTRE,001xxx,HOSPITAL LEVEL 4,LEVEL 4,EMBU,ACTIVE
ACELA MEDICAL CENTRE LIMITED,017xxx,HOSPITAL LEVEL 4,LEVEL 4,SIAYA,ACTIVE
ACHEALTH SPECIALIST CLINIC,019xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
ACHUDAN MEDICAL CENTER LTD,004xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
ACHUDAN MEDICAL CENTER LTD,018xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
ACK BUKUYUDI PARISH CLINIC,004xxx,FAITH BASED DISPENSARY,LEVEL 2,BUSIA,ACTIVE
ACK DR. PIKE ROPER MEDICAL CENTRE,016xxx,FAITH-BASED BASIC CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
ACK JESMOND CLINIC,018xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
ACK KHASOKO HEALTH CENTRE,002xxx,BASIC HEALTH CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
ACK KIRIARI DISPENSARY,002xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
ACK LUKOYE MEDICAL CENTRE LIMITED,021xxx,BASIC HEALTH CENTRE,LEVEL 3B,KAKAMEGA,ACTIVE
ACK MT KENYA HOSPITAL MWEA,014xxx,FAITH-BASED COMPREHENSIVE CENTRE,LEVEL 3B,KIRINYAGA,ACTIVE
ACK MUTUKANIO DISPENSARY,002xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
ACK NAMBOBOTO HEALTH CENTRE,005xxx,MEDICAL CENTRE,LEVEL 3B,BUSIA,ACTIVE
ACK PORT FLORENCE COMMUNITY HOSPITAL,006xxx,HEALTH CENTRE,LEVEL 3A,KISUMU,ACTIVE
ACK SOYSAMBU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,ACTIVE
ACK ST. MARYS MUGUMO DISPENSARY,000xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
ACK ST.LUKES MISSION NURSING HOME,007xxx,NURSING HOME,LEVEL 3A,KILIFI,ACTIVE
ACORN COMMUNITY HOSPITAL LIMITED,023xxx,NURSING HOME,LEVEL 3A,MOMBASA,ACTIVE
ACOUSTIC HEARING CENTER,007xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ACROSS WESTERN MEDICAL CENTRE AND PHARMACEUTICALS LTD,018xxx,NURSING HOME,LEVEL 3A,VIHIGA,ACTIVE
ACTIVE CARE MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,KILIFI,ACTIVE
ACURIE HEARING CENTRE,023xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
ACUTEST HOSPITALS LTD,023xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
ADADI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MARSABIT,ACTIVE
ADADIJOLE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
ADAMS MOSQUE MEDICAL & DENTAL CLINIC,000xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
ADAMVIT HOSPITAL ROSTAMAN,021xxx,MEDICAL CENTRE,LEVEL 3B,KAKAMEGA,ACTIVE
ADC DANISA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
ADC MARKET NURSING HOME LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
ADEL MEDICAL CLINIC LIMITED,018xxx,MEDICAL CLINIC,LEVEL 2,KILIFI,ACTIVE
ADELPHA MEDICAL CLINIC,019xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
ADEMASAJIDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
ADENA OCCUPATIONAL HEALTH AND SAFETY CENTRE,021xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
ADENAWALE,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
ADIEDO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
ADIEDO MEDICAL CENTRE,016xxx,MEDICAL CLINIC,LEVEL 2,HOMA BAY,ACTIVE
ADIMAKA CLINIC AHERO,016xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
ADMINISTRATION POLICE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
ADMINISTRATION POLICE DISPENSARY - KIRIMANCHUMA MERU,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
ADNAN MEDICAL CENTRE,021xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
ADOMEYON DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
ADPATH LABORATORIES LIMITED MURANGA,017xxx,MEDICAL CLINIC,LEVEL 2,MURANG'A,ACTIVE
ADPATH LABORATORIES LTD,008xxx,MEDICAL CENTRE,LEVEL 3B,MACHAKOS,ACTIVE
ADPATH LABORATORIES-KENOL,021xxx,MEDICAL CENTRE,LEVEL 3B,MURANG'A,ACTIVE
ADU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
ADURKOIT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
ADVANCE CARE DENTAL CENTER,005xxx,DENTAL CLINIC,LEVEL 2,KISUMU,ACTIVE
ADVANCED CANCER CENTRE LTD,017xxx,NURSING HOME,LEVEL 3A,KISII,ACTIVE
ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS LIMITED,019xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NAIROBI,ACTIVE
ADVENT MED AND DENT CARE CENTRE,002xxx,MEDICAL CENTRE,LEVEL 3B,NAKURU,ACTIVE
ADVENT MEDICARE & MATERNITY CENTER,016xxx,NURSING HOME,LEVEL 3A,NAKURU,ACTIVE
AEGO SAGENYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MIGORI,ACTIVE
AESTHETICA AT EVANS SUNRISE MEDICAL CENTRE,007xxx,DENTAL CLINIC,LEVEL 2,NAKURU,ACTIVE
AFARSHANLE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
AFBLOOM FLOWERS HEALTH CLINIC,021xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
AFCRAD HOSPITAL LIMITED,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AFEY HILLOW NURSING HOME LIMITED,023xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
AFFAN NURSING HOME LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
AFILA MEDICAL CENTER BOMBOLULU,020xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
AFIMAT MEDICAL CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
AFLAH MEDICAL CENTRE,003xxx,MEDICAL CENTRE,LEVEL 3B,LAMU,ACTIVE
AFNAAN HEALTHCARE SERVICES,003xxx,MEDICAL CENTRE,LEVEL 3B,GARISSA,ACTIVE
AFRAHA MATERNITY AND NURSING HOME,001xxx,NURSING HOME,LEVEL 3A,NAKURU,ACTIVE
AFRICA INLAND CHURCH LALANG AMALO HEALTH CENTRE,003xxx,HEALTH CENTRE,LEVEL 3A,NAKURU,ACTIVE
AFRICA INTEGRATED SURGICAL CENTRE LIMITED,019xxx,MEDICAL CENTRE,LEVEL 3B,KAJIADO,ACTIVE
AFRICA INUKA HOSPITAL LTD- MILIMANI,016xxx,HOSPITAL LEVEL 4,LEVEL 4,KISUMU,ACTIVE
AFRICA INUKA HOSPITAL LTD- UGUNJA,014xxx,MEDICAL CENTRE,LEVEL 3B,SIAYA,ACTIVE
AFRICA INUKA HOSPITAL LTD-KISUMU,008xxx,NURSING HOME,LEVEL 3A,KISUMU,ACTIVE
AFRICA INUKA HOSPITAL LTD-MADEYA,014xxx,HOSPITAL LEVEL 4,LEVEL 4,SIAYA,ACTIVE
AFRICA MISSION SERVICES COMMUNITY CLINIC,001xxx,HEALTH CENTRE,LEVEL 3A,NAROK,ACTIVE
AFRICA MUSLIMS AGENCY HEALTH CENTRE THIKA,000xxx,HOSPITAL LEVEL 4,LEVEL 4,KIAMBU,ACTIVE
AFRICAN INLAND CHURCH-MATAARA HOSPITAL,020xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
AFRICAN MUSLIM AGENCY DISPENSARY KIBARANI,003xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
AFRICAN MUSLIM AGENCY DISPENSARY MATSANGONI,003xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
AFRICANA MALL HEALTH CARE LTD,015xxx,MEDICAL CLINIC,LEVEL 2,TURKANA,ACTIVE
AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,015xxx,NURSING HOME,LEVEL 3A,MURANG'A,ACTIVE
AFRICARE LIMITED NHIF BUILDING,004xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AFRICARE LIMITED-UPPERHILL,020xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AFRICRYSTALCARE MEDICAL CENTER LIMITED - KAPA OIL,020xxx,MEDICAL CENTRE,LEVEL 3B,MACHAKOS,ACTIVE
AFRICRYSTALCARE MEDICAL CENTER LIMITED-KERUGOYA,019xxx,MEDICAL CLINIC,LEVEL 2,KIRINYAGA,ACTIVE
AFRICRYSTALCARE MEDICAL CENTER LIMITED-NYERI BRANCH,019xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
AFRICRYSTALCARE MEDICAL CENTRE LIMITED,015xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AFRICRYSTALCARE MEDICAL CENTRE-GITHUNGURI,019xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
AFRIHOSPITAL HOLDINGS LIMITED MEDICAL CENTRE - WESTLANDS,022xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AFRIHOSPITAL HOLDINGS LIMITED-KISUMU,023xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
AFRILIFE HEALTH MEDICAL CLINIC LIMITED,017xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
AFRISMART GROUP OF HOSPITALS LIMITED,016xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AFRO BEAUTY PLASTIC CENTRE LIMITED,017xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AFWEIN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,GARISSA,ACTIVE
AFYA - BURGURET MEDICARE,021xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
AFYA BORA HEALTH CARE,006xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
AFYA BORA HOSPITAL,006xxx,HOSPITAL LEVEL 4,LEVEL 4,KIRINYAGA,ACTIVE
AFYA BORA HOSPITAL ANNEX,015xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,KIRINYAGA,ACTIVE
AFYA BORA MEDICAL CLINIC MUTOMO,015xxx,NURSING HOME,LEVEL 3A,KITUI,ACTIVE
AFYA CENTER KISUMU,003xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
AFYA CREST MEDICAL CENTRE,019xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
AFYA FIRST MEDICAL CENTRE,003xxx,NURSING HOME,LEVEL 3A,MOMBASA,ACTIVE
AFYA FRANK MEDICAL LABORATORY DISPENSING,001xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
AFYA HEALTH SYSTEMS ORGANIZATION,003xxx,MEDICAL CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
