Provider,Amount
ANOLE HEALTHCENTRE,"100,000.00"
ANTALIYA HOSPITAL LIMITED,"450,000.00"
ANYUONGI DISPENSARY,"70,000.00"
APODA MEDICAL CLINIC,"20,000.00"
APOSTA HEALTH CENTRE,"50,000.00"
APPEX HOSPITAL,"30,000.00"
ARAWA HOSPITAL LIMITED,"60,000.00"
ARCHER'S POST CATHOLIC HEALTH CENTRE,"174,350.00"
Ardagarbicha Dispensary,"300,000.00"
ARDAHAGARSU DISPENSARY,"339,500.00"
ARESA DISPENSARY,"250,000.00"
ARISE HOSPITAL,"10,000.00"
ARITO LANGI DISPENSARY,"10,000.00"
AROMBE DISPENSARY,"170,000.00"
ARROR HEALTH CENTRE,"60,000.00"
ASAD MEDICAL CENTRE,"30,000.00"
ASAYI DISPENSARY,"240,000.00"
ASHABITO MEDICAL CENTRE,"30,000.00"
ASHBURN COMMUNITY NURSING HOME,"210,000.00"
ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPIT,"590,000.00"
ATHI KAMUNYUNI HEALTH CENTRE,"30,000.00"
ATHI RIVER MEDICAL SERVICES,"660,000.00"
ATHIBOHOL HEALTH CENTER,"60,000.00"
AUSMUDULE DISPENSARY,"100,000.00"
AVENUE HEALTHCARE GREENSPAN MEDICAL CENT,"63,900.00"
AVENUE HOSPITAL,"442,670.00"
AVENUE HOSPITAL- KISUMU,"713,550.00"
AVENUE HOSPITAL THIKA,"3,176,203.00"
AWALOW NURSING HOME LIMITED,"40,000.00"
BAARI HEALTH CENTRE,"170,000.00"
BABADOGO HEALTH CENTRE,"1,300,000.00"
BACHILE DISPENSARY,"410,000.00"
BAHATI DISPENSARY-NAKURU,"90,000.00"
BAHATI HOSPITAL,"700,000.00"
BAHATI HOSPITAL JOSKA BRANCH,"672,000.00"
BAHATI SUB-COUNTY HOSPITAL,"2,650,000.00"
BALAMBALA SUB-COUNTY HOSPITAL,"70,000.00"
BALATUL-AMIN DISPENSARY,"80,000.00"
BALDO IPPOLITA CATHOLIC HEALTH CENTRE,"100,000.00"
BALE DISPENSARY,"10,000.00"
BAMA HOSPITAL LLP,"120,000.00"
BAMBOO HEALTH CENTRE,"80,000.00"
BANANEY NURSING HOME LIMITED,"10,000.00"
BANDE DISPENSARY,"10,000.00"
BANISA SUB COUNTY HOSPITAL,"60,000.00"
BAOLALA MODEL HEALTH CENTRE,"420,000.00"
BAR ACHUTH DISPENSARY,"40,000.00"
BAR AGULU DISPENSARY,"40,000.00"
BAR NDEGE DISPENSARY,"330,000.00"
BAR OLENGO DISPENSARY,"140,000.00"
BARAGU HEALTH CENTRE,"20,000.00"
Baraka Maternity Home,"290,000.00"
BARANI DISPENSARY,"350,000.00"
BARICHO CATHOLIC HEALTH CENTRE,"10,000.00"
BARICHO DISPENSARY,"180,000.00"
BARICHO SUB-COUNTY HOSPITAL,"140,000.00"
BARIKA MEDICAL CENTRE LIMITED,"90,000.00"
BARINGO COUNTY REFERRAL HOSPITAL,"153,250.00"
BARMIL DISPENSARY,"10,000.00"
BARMILE NURSING HOME LIMITED,"30,000.00"
BARSOMBE DISPENSARY,"10,000.00"
BARUT DISPENSARY,"100,000.00"
BARWAQ DISPENSARY,"180,000.00"
BATALU DISPENSARY,"120,000.00"
BATU MEDICAL CENTRE LIMITED,"10,000.00"
BAYAAN NURSING HOME,"287,550.00"
BEACON OF HOPE CLINIC,"70,000.00"
BEEHIVE MEDICAL SERVICES,"60,000.00"
BEGGS NURSING HOME LIMITED-MATUNDA,"20,000.00"
BEKAM MEDICAL NURSING CENTER,"40,000.00"
BELLEVUE HEALTH CENTRE,"210,000.00"
BENGLAD FAMILY CARE CLINIC,"10,000.00"
BENMAC HEALTH CLINIC,"780,000.00"
BERIL\\'S GWP MEDICAL CENTER,"10,000.00"
BERISAMAAT MEDICAL CENTRE,"10,000.00"
BERJANAY DISPENSARY,"20,000.00"
BERMEIL NURSING HOME LIMITED,"10,000.00"
BESHARA STREET NURSING HOME,"210,000.00"
BESTCARE HOSPITAL LIMITED,"90,000.00"
BETHANIA MEDICAL CENTRE,"40,000.00"
BETHANY HILLCREST HOSPITAL LIMITED - OLOKUR,"30,000.00"
BETHANY HILLCREST HOSPITAL LTD - KIAMUNYI,"70,000.00"
BETHANY HILLCREST HOSPITAL-OLPUSIMORU,"40,000.00"
BETHESDA HEALTH CARE SERVICES COMPANY LIM,"1,090,000.00"
BETHESDA NURSING HOME KARAGITA,"70,000.00"
BETHLEHEM HOME HOSPITAL,"30,000.00"
BETTER LIVING HOSPITAL,"30,000.00"
BIBLE FAITH CHURCH MEDICAL SERVICES,"910,000.00"
BIKEKE HEALTH CENTRE,"450,000.00"
BILKHEIR NURSING HOME LIMITED,"10,000.00"
BIRETWA MODEL HEALTH CENTRE,"220,000.00"
BIRKAN DISPENSARY,"240,000.00"
BISHOP U. J. KIOKO CATHOLIC HOSPITAL,"2,106,000.00"
BISSIL HEALTH CENTRE,840000
BISUNU DISPENSARY,230000
BIZET MEDICAL CENTRE,90000
BLESSED COMMUNITY MEDICAL CLINIC,10000
BLESSED TO BLESS HEALTHCARE LIMITED,370000
BLOOM HEALTHCARE MACHAKOS,702900
BLOOM HOSPITAL NAKURU LIMITED,73900
BLUE NILE MKOROSHONI MEDICAL CENTRE LTD,20000
BLUE RIDGE MEDICAL LTD,670950
BLUE RIDGE MEDICAL - THIKA,457950
BLUE TURTLE MEDICAL CLINIC,90000
BODAKI MEDICARE LIMITED,30000
BODI HEALTH CENTRE,240000
BOENSUMMIT MEDICAL CENTER,300000
BOJIGARAS DISPENSARY,280000
BOJIGARSE DISPENSARY,150000
BOKIMAI DISPENSARY,170000
BOKOLE CDF HEALTH CENTER,390000
BOLOWLE DISPENSARY,30000
BOMBOLULU DIAGNOSTIC MEDICAL CENTRE,360000
BOMET\\'S HEALTH CARE,380000
BONDE DISPENSARY,30000
BONDENI HEALTH CENTRE,260000
BONDENI SUB-COUNTY HOSPITAL,590000
BONDO MEDICAL CENTRE,40000
BONDO SUB-COUNTY REFERRAL HOSPITAL,2686720
BORA IMANI DISPENSARY,10000
BORANGI HEALTH CENTRE,140000
BORDERPOINT MEDICAL CENTER LIMITED,490000
BOREHOLE FIVE HEALTH CENTRE,120000
BORO DISPENSARY,100000
BOSONGO MEDICAL CENTRE,1659150
BRILLIANCE CARE MEDICAL HOSPITAL,10000
BRISTOL PARK HOSPITAL FEDHA,233000
BRISTOL PARK HOSPITAL MACHAKOS,116500
BRISTOL PARK HOSPITAL-KITENGELA,30000
BRIXTON MAKUNGA MEDICAL CLINIC,20000
BROOKS OF CHERITH MEDICAL AND NUTRITION CE,60000
BROTHER ANDRE HOSPITAL LTD,770000
BROWNS MEMORIAL MEDICAL CENTRE,990000
BUCHANGU DISPENSARY,340000
BUDALANGI DISPENSARY,310000
BUGINA HEALTH CENTRE,183000
BUGUMBE HEALTH CENTRE,60000
BUHURU PONYA MEDICAL CENTRE,320000
BUKAYA HEALTH CENTRE,120000
BUKEMBE HEALTH CENTRE,210000
BUKURA RURAL HEALTH DEMONSTRATION CENTRE,"374,480.00"
BULLA ELMI DISPENSARY,"120,000.00"
BULLA MPYA NURSING HOME,"480,000.00"
BULONDO HEALTH CENTRE,"550,000.00"
BULWANI PRIVATE HOSPITAL LIMITED,"20,000.00"
BUMALA A HEALTH CENTRE,"90,000.00"
BUMALA B HEALTH CENTRE,"340,000.00"
BUNGASI HEALTH CENTRE,"40,000.00"
BUNGOMA COUNTY REFERRAL HOSPITAL,"2,143,000.00"
BUNGOMA WEST HOSPITAL,"1,336,900.00"
BUNYORE MEDICAL CENTRE LIMITED,"30,000.00"
BURA SUB-COUNTY HOSPITAL,"60,000.00"
BURA TANA NURSING HOME LIMITED,"20,000.00"
BURHAN NURSING HOME,"110,000.00"
BURMAYO DISPENSARY,"220,000.00"
BURMAYO HEALTH CENTRE,"100,000.00"
BURNT FOREST SUB-COUNTY HOSPITAL,"60,000.00"
BUSHIRI RURAL HEALTH CENTRE,"1,520,000.00"
BUSHRAA MEDICAL CENTRE,"200,000.00"
BUTERE COUNTY HOSPITAL,"910,000.00"
BUTIELI DISPENSARY,"110,000.00"
BUTINGO DISPENSARY,"20,000.00"
BUTULA MISSION HEALTH CENTRE,"90,000.00"
BUYA MEDICAL CENTRE LIMITED,"10,000.00"
BUYANGU DISPENSARY,"10,000.00"
BWAGA MOYO DISPENSARY,"180,000.00"
CANA FAMILY CLINIC AND RESOURCE CENTRE,"1,960,000.00"
CANA HOSPITAL,"73,900.00"
CANCER CARE INTERNATIONAL,"14,750,137.53"
CANNAN HOSPITAL &amp; WELLNESS CENTRE LIMIT,"210,000.00"
CAPITAL MEMORIAL NURSING HOME,"10,000.00"
CARDINAL NURSING HOME LIMITED,"130,000.00"
CARDINAL OTUNGA HEALTH CENTRE,"310,000.00"
CARE HOSPITAL LTD,"137,800.00"
CAREGIVERS COMMUNITY HOSPITAL,"10,000.00"
CAREMARK HOSPITAL,"2,847,700.30"
CARITAS COMMUNITY HOSPITAL,"90,000.00"
CARITAS MARIANA MAG. WALTRAUD SCHULTZ MEM,"10,000.00"
CARMEL HOSPITAL,"50,000.00"
CATHOLIC DISPENSARY NGAREMARA,"70,000.00"
CEDAR HOSPITAL,"875,750.00"
CENTRAL MEMORIAL HOSPITAL LTD,"368,450.00"
CENTRES FOR COMMUNITY HEALTHCARE ACCESS,"170,000.00"
CHACHABOLE DISPENSARY,"90,000.00"
CHAKAMA DISPENSARY,"190,000.00"
CHALANI DISPENSARY,"40,000.00"
CHALIANA MEDICAL CENTRE,"30,000.00"
CHANGARA GK HEALTH CENTRE,"190,000.00"
CHARITY MEDICAL HOSPITAL,"450,400.00"
CHASIMBA HEALTH CENTRE,"850,000.00"
CHEBANGANG HEALTH CENTRE,"160,000.00"
CHEBIEMIT SUB COUNTY HOSPITAL,"96,000.00"
CHEBORGEI HEALTH CENTRE,"570,000.00"
CHEBORORWA HEALTH CENTRE,"470,000.00"
CHEBUKUTUMI HEALTH CENTRE,"60,000.00"
CHEBUKWABI DISPENSARY,"130,000.00"
Chebunyo Dispensary,"500,000.00"
CHEGILET HEALTH CENTRE,"160,000.00"
CHEGULO DISPENSARY,"100,000.00"
CHEKALINI HEALTH CENTRE,"390,700.00"
CHELYMO MEDICAL CENTRE,"5,060,000.00"
CHEMALAL DISPENSARY-BOMET,"10,000.00"
CHEMAMIT DISPENSARY,"40,000.00"
CHEMANER DISPENSARY-BOMET,"350,000.00"
CHEMASE MEDICAL CENTRE,"20,000.00"
CHEMBULET HEALTH CENTRE,"130,000.00"
CHEMOGE DISPENSARY,"150,000.00"
CHEMOLINGOT SUB-COUNTY HOSPITAL,"50,000.00"
CHEMOSOT HEALTH CENTRE,"320,000.00"
CHEMSES DISPENSARY,"50,000.00"
CHEMWOROR HEALTH CENTRE,"10,000.00"
CHEPKANGA HEALTH CENTRE,"50,000.00"
CHEPKECHIR DISPENSARY,"60,000.00"
CHEPKIGE HEALTH CENTRE,"580,000.00"
CHEPKOMBE DISPENSARY,"40,000.00"
CHEPKONGONG DISPENSARY,"140,000.00"
CHEPKORIO HEALTH CENTRE,"450,000.00"
CHEPKUBE HEALTH CENTRE,"200,000.00"
CHEPKURKUR DISPENSARY,"1,380,000.00"
CHEPTAIS SUB-COUNTY HOSPITAL,"110,000.00"
CHEPTALAL SUB-COUNTY HOSPITAL,"1,060,000.00"
CHEPTERWAI SUB-COUNTY HOSPITAL,"89,998.00"
CHEPTUR HEALTH SERVICES,"70,000.00"
CHEPYUK HEALTH CENTRE,"20,000.00"
CHERAMEI DISPENSARY,"200,000.00"
CHERANGAN DISPENSARY,"20,000.00"
CHERANGANY SUB COUNTY HOSPITAL,"210,000.00"
CHESINENDE DISPENSARY,"40,000.00"
CHEST AND SKIN CLINIC,"20,000.00"
CHEVOSO DISPENSARY,"40,000.00"
CHIGA SUB COUNTY HOSPITAL,"70,000.00"
CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOS,"83,250.00"
CHOK-CHOK DISPENSARY,"50,000.00"
CHRISTAMARIANNE MISSION HOSPITAL (ASUMBI),"2,952,350.00"
CHRISTIAN MISSION INTERNATIONAL-SAMBOCHO H,30000
CHUKURA DISPENSARY,10000
CHULAIMBO SUB-COUNTY HOSPITAL,300000
Chumani Dispensary,50000
CHWELE FOUNTAIN HOSPITAL LTD,40000
CITY GATE DOCTORS PLAZA LTD,253650
CKS DIALYSIS CENTRE - BURUBURU,149100
CKS DIALYSIS CENTRE PANGANI,213000
CKS HOSPITAL LIMITED-KIMUKA,181050
CLEVERLAND COTTAGE HOSPITAL AND MATERNITY,10000
COMFY HEALTHCARE LIMITED,10000
CONSOLATA HOSPITAL KYENI,954546
CONSOLATA COTTAGE HOSPITAL CHUKA,2166720
CONSOLATA HOSPITAL GITORO,100000
CONSOLATA HOSPITAL MATHARI,1620850
CONSOLATA HOSPITAL NANYUKI,1396000
CONSOLATA HOSPITAL NKUBU,4360000
COPTIC HOSPITAL - NGONG ROAD,830700
COTTOLENGO MISSION HOSPITAL,480000
COUNTY MEDICAL CENTRE EMBU LTD,914950
COWDRAY DISPENSARY,210000
CROWN SPECIALIST CENTRE,810000
CRYSTAL COTTAGE HOSPITAL & MEDICAL CLINIC LT,100000
CYNERT HOSPITAL AND REHABILITATION CENTRE L,10000
D.T.C HEALTHCARE LIMITED,30000
DADAAB MEDICAL CENTRE LIMITED,30000
DADAJABULA HEALTH CENTRE,30000
DAGAMRA DISPENSARY,261000
DAGORETTI SUB-COUNTY HOSPITAL MUTUINI,526000
DALSAN MEDICAL CENTRE,140000
DANABA HEALTH CENTRE,230000
DANDELION MEDICAL CENTRE,1356000
DANDELION MEDICAL CENTRE-KILIMANJARO,250000
DANDORA II HEALTH CENTRE,30000
DANLINK HEALTH CARE,40000
DANMOSON OASIS MEDICAL AND DIAGNOSTIC CEN,10000
Daraja Mungu Dispensary,60000
DARWED DISPENSARY,330000
DAVID KAYANDA DISPENSARY,60000
DAWDER DISPENSARY,40000
DEANESH HOSPITAL LTD,10000
DEDE HARMONY MEDICAL CENTRE AND MATERNIT,30000
DELIGHTS SUN HOSPITAL,10000
DENCARE MEDICAL CLINIC,90000
DERKALE HEALTH CENTRE,200000
DERTU HEALTH CENTRE,330000
DIANI BEACH HOSPITAL,626400
DIANI BEACH HOSPITAL - LIKONI,"511,200.00"
DIANI HEALTH CENTRE,"1,750,500.00"
DIDA DISPENSARY,"50,000.00"
DIENYA HEALTH CENTRE,"240,000.00"
DIFATHAS HEALTH CENTRE,"80,000.00"
DIVINE MERCY ALUOR HEALTH CENTRE,"180,000.00"
DIVINE MERCY KITHATU HEALTH CENTRE,"99,997.00"
DLISS FAMILY HOSPITAL,"580,000.00"
DOL DOL SUB COUNTY HOSPITAL,"20,000.00"
DOM COTTOLENGO HEALTH CENTRE - MUKOTHIMA,"180,000.00"
DOMAL DISPENSARY,"160,000.00"
DOPHIL NURSING &amp; MATERNITY HOME NOMIYA,"220,000.00"
DORAN LIFE CARE CENTRE,"62,450.00"
DR.KALEBI LABS (DKL) LTD,"146,200.00"
DUDU HEALTH CENTRE,"10,000.00"
DUNDORI HEALTH CENTRE,"640,000.00"
DUNGICHA DISPENSARY,"100,000.00"
DUREWEEY DISPENSARY,"120,000.00"
DURO MODERN HOSPITAL LIMITED,"80,000.00"
EAGLE HEALTH AND CLINIC SERVICES,"4,650,000.00"
EAGLE HEALTH AND CLINIC SERVICES RIRUTA BRA,"460,000.00"
EASTLEIGH HEALTH CENTRE,"560,000.00"
EASTVALLEY NURSING HOME,"30,000.00"
EBEREGE HEALTH CENTRE,"480,000.00"
EBUKANGA DISPENSARY,"20,000.00"
EBUSIRATSI HEALTH CENTRE,"40,000.00"
EDELVALETRUST JAMAA HOME AND MISSION HOSP,"361,450.00"
Edna Maternity,"70,000.00"
EKALAKALA HEALTH CENTRE,"470,000.00"
EKALAKALA NURSING HOME LIMITED,"40,000.00"
EKERENYO SUB-COUNTY HOSPITAL,"120,000.00"
EKICHELES DISPENSARY,"110,000.00"
EKITALE DISPENSARY,"160,000.00"
EKWANDA HEALTH CENTRE,"50,000.00"
EL-ADO DISPENSARY,"190,000.00"
ELBEN DISPENSARY,"310,000.00"
ELBURGON SUB-COUNTY HOSPITAL,"1,280,000.00"
ELDAMA RAVINE NURSING HOME,"350,000.00"
ELDAMA RAVINE SUB-COUNTY HOSPITAL,"940,000.00"
ELDORET HOSPITAL,"308,850.00"
ELDORET HOSPITAL-KERICHO BRANCH,"298,200.00"
ELELE DISPENSARY,"360,000.00"
ELGEYO MARAKWET COUNTY BEYOND ZERO MOBI,"60,000.00"
ELGOLICHA HEALTH CENTRE-MANDERA,"70,000.00"
ELIMAT GROUP NURSING HOME(BUKHAKUNGA) LIM,"40,000.00"
EL-KALA DISPENSARY,"320,000.00"
ELRAM DISPENSARY,"340,000.00"
ELUANATA DISPENSARY,"100,000.00"
ELWANGALE HEALTH CENTRE,"200,000.00"
ELWESERO HEALTH CENTRE,"250,000.00"
ELYUNIS DISPENSARY,"40,000.00"
EMAIRA DISPENSARY,"30,000.00"
EMALI SUB COUNTY HOSPITAL,"326,000.00"
EMARTI HEALTH CENTRE,"290,000.00"
EMBAKASI HEALTH CENTRE,"460,000.00"
EMBONGA HEALTH CENTRE,"30,000.00"
EMBU CHILDREN HOSPITAL,"1,405,300.00"
EMBU COUNTY REFERRAL HOSPITAL,"4,610,739.00"
EMINING HEALTH CENTRE,"90,000.00"
EMMANUEL MISSION HEALTH CENTRE,"130,000.00"
EMMAUS MEDICAL CENTRE - KURESOI,"30,000.00"
EMORY HOSPITAL LIMITED,"224,000.00"
EMUHAYA SUB-COUNTY HOSPITAL,"1,241,500.00"
EMURUA DIKIRR HEALTH CENTRE,"1,470,000.00"
EMURUTOTO HEALTH CENTRE,"180,000.00"
EMUSIRE HEALTH CENTRE,"810,000.00"
ENDEBESS SUB-COUNTY HOSPITAL,"1,039,500.00"
ENDO HEALTH CENTRE MISSION,"140,000.00"
ENGASHURA HEALTH CENTRE,"120,000.00"
ENGINEER COUNTY HOSPITAL,"280,000.00"
ENKIPAI DISPENSARY,"90,000.00"
ENKOIREROI DISPENSARY,"270,000.00"
ENOCKHAN HOSPITAL LTD,"10,000.00"
ENOOSAEN HEALTH CENTRE,"559,998.00"
ENTANDA LEVEL 3 HOSPITAL,"510,000.00"
ENTARARA HEALTH CENTRE,"280,000.00"
ENTASEKERA HEALTH CENTRE,"240,000.00"
ENZARO HEALTH CENTRE,"172,240.00"
EQUATOR MEDICAL SERVICES LTD LUANDA,"60,000.00"
ERAMBA HEALTH CENTRE,"300,000.00"
ESAGERI HEALTH CENTRE,"260,000.00"
ESANI SUB-COUNTY HOSPITAL,"490,000.00"
ESERIAN FAMILY HOSPITAL,"10,000.00"
ESHIBEMBE HEALTH CENTRE,"80,000.00"
ESHIBIMBI HEALTH CENTRE,"241,000.00"
ESHIKULU DISPENSARY,"40,000.00"
ESHIMKOKO HEALTH CENTRE,"160,000.00"
ESHIO COMMUNITY HEALTHCARE,"10,000.00"
ESIKULU DISPENSARY,"40,000.00"
ESTHER MEMORIAL MATENITY &amp; NURSING HOM,"20,000.00"
EVANS HEALTHCARE CLINIC LTD,"50,000.00"
EVOJO HEALTH CENTRE,"10,000.00"
EWASO KEDONG DISPENSARY,"960,000.00"
"EXCEL HEALTH SERVICES, GARISSA","130,000.00"
EYMOLE HEALTH CENTRE,"10,000.00"
EYMOLE MEDICARE AND NURSING HOME LIMITED,"10,000.00"
F.S.J ST. THERESA ASUMBI MISSION HOSPITAL,"250,000.00"
F.S.J. NYAMIRANGA DIVINE MERCY HEALTH CENTRE,"40,000.00"
FAIRFIELD MEDICAL CENTRE KITENGELA LTD,"394,050.00"
FAIRVIEW MEDICAL CENTRE,"970,000.00"
FALAMA DISPENSARY,"110,000.00"
FAMILIA BORA MEDICAL CENTRE,"170,000.00"
FAMILYFIRST MEDICAL CENTRE LIMITED,"160,000.00"
FATIMA MISSION HOSPITAL,"433,360.00"
FATUMANOOR DISPENSARY,"80,000.00"
FAVOUR MEDICAL SERVICES,"589,998.00"
FAYYA NURSING HOME,"60,000.00"
FAZA SUB-COUNTY HOSPITAL,"120,000.00"
FHOK-FAMILY CARE MEDICAL CENTRE &amp; MATE,"30,000.00"
Figo Care Plus (K )Ltd Upper Hill,"351,450.00"
FIGO CARE PLUS(K) LIMITED,"766,800.00"
FINA NURSING HOME,"70,000.00"
FINCHARO HEALTH CENTRE,"260,000.00"
FINO HEALTH CENTRE,"70,000.00"
FINO NURSING HOME LIMITED,"50,000.00"
FIRENZE NURSING HOME LIMITED,"180,000.00"
FIRMVIEW MEDICAL CENTRE,"30,000.00"
FIRST CHOICE HOSPITAL LTD,"40,000.00"
FIRST COMMUNITY HOSPITAL MLOLONGO,"10,000.00"
FLAMINGO MEDICAL CENTRE,"170,000.00"
FLC FOUNTAIN MISSION HOSPITAL,"10,000.00"
FLODER MEDICAL CENTRE,"20,000.00"
FORT TERNAN SUB-COUNTY HOSPITAL,"1,560,000.00"
FORTIS KIDNEY CENTER LIMITED,"372,750.00"
FOUNTAIN HEALTHCARE LIMITED,"70,000.00"
FOUNTAIN HEALTHCARE LTD BUNGOMA,"240,000.00"
FREVANE HOSPITAL,"370,000.00"
FRIENDS CHWELE MISSION DISPENSARY,"10,000.00"
FRIENDS LUGULU HOSPITAL,"199,750.00"
FRIMA IMANI MEDICAL SERVICES,"10,000.00"
FURAHA MEDICAL CARE,"50,000.00"
FUTURE LIFE COMMUNITY NURSING HOME,"170,000.00"
FUTURE- MED SPECIALIST AND MATERNITY HOSPIT,"10,000.00"
GAGABA NURSING HOME LTD,"70,000.00"
GAHALENI DISPENSARY,"60,000.00"
GAICHANJIRU CATHOLIC HOSPITAL,"2,496,650.00"
GALAXY HOSPITAL LIMITED,"618,220.00"
GALILEE HOSPITAL KITALE LIMITED,"270,000.00"
GAMEI DISPENSARY,"10,000.00"
GANDA DISPENSARY,"230,000.00"
GANDINI DISPENSARY,"20,000.00"
GANJONI HOSPITAL MOMBASA LIMITED,"50,000.00"
GANYURE DISPENSARY,"90,000.00"
GANZE HEALTH CENTRE,"1,010,000.00"
GARASHI DISPENSARY,"250,000.00"
GARI DISPENSARY,"70,000.00"
GARISSA COUNTY REFERRAL HOSPITAL,"5,930,000.00"
GARISSA MOTHER AND CHILD HEALTH CARE,"180,000.00"
GARISSA NURSING HOME,"150,000.00"
GARISSA NURSING HOME ANNEX,"10,000.00"
GARSEN HEALTH CENTRE,"180,000.00"
GARSESALA HEALTH CENTRE,"240,000.00"
GARSEY GOFTU DISPENSARY.,"130,000.00"
GATAKA DISPENSARY,"30,000.00"
GATEGI HEALTH CENTRE,"150,000.00"
GATES OF HOPE FAMILY MEDICARE CENTRE,"160,000.00"
GATHAMBI HEALTH CENTRE,"160,000.00"
GATHANGA DISPENSARY,"70,000.00"
GATHIGIRIRI HEALTH CENTRE,"90,000.00"
GATIMU HEALTH CENTRE,"110,000.00"
GATUNDU COUNTY REFERRAL HOSPITAL,"117,150.00"
GATUNGA CATHOLIC HEALTH CENTRE,"207,160.00"
GAZI DISPENSARY,"10,000.00"
GEDE HEALTH CENTRE,"620,000.00"
GELEGELE DISPENSARY,"10,000.00"
GENERATION AND VISIONARY MEDICAL CENTRE,"40,000.00"
