Provider,Amount
BONDO SUB-COUNTY REFERRAL HOSPITAL,"71,000.00"
BOSONGO MEDICAL CENTRE,"7,145,600.00"
BRISTOL PARK HOSPITAL MACHAKOS,"1,030,400.00"
BRISTOL PARK HOSPITAL-KITENGELA,"134,400.00"
BUKAAN DEEQ NURSING HOME LIMITED,"1,402,800.00"
BUNGOMA COUNTY REFERRAL HOSPITAL,"145,600.00"
BUNGOMA WEST HOSPITAL,"89,600.00"
BURNT FOREST SUB-COUNTY HOSPITAL,"16,000.00"
BUSHRAA MEDICAL CENTRE,"77,840.00"
BUTE NURSING HOME,"76,700.00"
BUTERE COUNTY HOSPITAL,"33,600.00"
CANA HOSPITAL,"22,400.00"
CARITAS COMMUNITY HOSPITAL,"235,200.00"
CARMEL HOSPITAL,"201,600.00"
CENTRAL MEMORIAL HOSPITAL LTD,"940,800.00"
CHARITY MEDICAL HOSPITAL,"557,760.00"
CHELYMO MEDICAL CENTRE,"705,600.00"
CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOSPITAL LIMITED,"8,402,000.00"
CHRISTAMARIANNE MISSION HOSPITAL (ASUMBI),"3,258,080.00"
CITY EYE HOSPITAL,"1,667,599.00"
CITY EYE HOSPITAL LIMITED,"366,240.00"
CITY GATE DOCTORS PLAZA LTD,"627,200.00"
CONSOLATA HOSPITAL KYENI,"883,580.00"
CONSOLATA HOSPITAL GITORO,"134,400.00"
CONSOLATA HOSPITAL MATHARI,"1,589,840.00"
CONSOLATA HOSPITAL NANYUKI,"156,600.00"
CONSOLATA HOSPITAL NKUBU,"2,049,600.00"
COTTOLENGO MISSION HOSPITAL,"1,130,640.00"
COUNT MEDICAL AND DIAGNOSTIC LIMITED,"2,924,200.00"
COUNTY MEDICAL CENTRE EMBU LTD,"1,476,720.00"
CRESCENT COMMUNITY HOSPITAL LIMITED,"1,668,800.00"
CROWN SPECIALIST CENTRE,"3,985,620.00"
CRYSTAL COTTAGE HOSPITAL & MEDICAL CLINIC LTD,"4,378,960.00"
DARUSALAAM HOSPITAL,"302,400.00"
DIANI BEACH HOSPITAL,"6,088,260.00"
DIANI BEACH HOSPITAL LIMITED-SHIKA ADABU,"89,600.00"
DR AGARWALS EYE HOSPITAL,"1,541,400.00"
DR.AGARWAL'S EYE HOSPITAL,"67,200.00"
EAGLE HEALTH AND CLINIC SERVICES,"436,800.00"
EASTEND DOCTORS PLAZA MEDICAL CENTRE LIMITED,"145,600.00"
ELBURGON SUB-COUNTY HOSPITAL,"56,000.00"
ELDAMA RAVINE NURSING HOME,"1,108,800.00"
ELDAMA RAVINE SUB-COUNTY HOSPITAL,"704,800.00"
ELDO EYE CENTER LIMITED,"44,800.00"
ELDORET HOSPITAL,"1,721,200.00"
ELGON VIEW HOSPITAL LIMITED,"168,000.00"
ELWAK COTTAGE NURSING HOME,"380,800.00"
ELWAK NURSING HOME LIMITED,"77,840.00"
EMBU CHILDREN HOSPITAL,"152,320.00"
EMBU CHILDREN\'S CLINIC,"1,971,199.00"
EMBU COUNTY REFERRAL HOSPITAL,"100,800.00"
EMORY HOSPITAL LIMITED,"235,200.00"
ENGINEER COUNTY HOSPITAL,"89,600.00"
ESTEEMED KUTUS MODERN HOSPITAL,"1,343,440.00"
"EXCEL HEALTH SERVICES, GARISSA","1,310,000.00"
EYE &amp; U NAKURU LIMITED,"224,000.00"
FAMILYFIRST MEDICAL CENTRE LIMITED,"56,000.00"
FAVOUR MEDICAL SERVICES,"22,400.00"
FIRENZE NURSING HOME LIMITED,"336,000.00"
FLAMINGO MEDICAL CENTRE,"907,200.00"
FOUNTAIN HEALTHCARE LIMITED,"145,600.00"
FOUNTAIN HEALTHCARE LTD BUNGOMA,"280,000.00"
FRIENDS CHURCH SABATIA EYE HOSPITAL,"3,001,440.00"
FRIENDS LUGULU HOSPITAL,"56,000.00"
GAICHANJIRU CATHOLIC HOSPITAL,"279,440.00"
GALILEE HOSPITAL KITALE LIMITED,"481,600.00"
GARISSA DOCTORS PLAZA,"3,605,320.00"
GARISSA NURSING HOME,"1,083,100.00"
GATUNDU COUNTY REFERRAL HOSPITAL,"22,400.00"
GERMAN MEDICAL CENTER MACHAKOS,"6,338,798.00"
GIFTED HANDS REGIONAL HOSPITAL,"56,000.00"
GLENFIN DONHOLM HOSPITAL LIMITED,"134,400.00"
GOODWILL COTTAGE HOSPITAL,"1,455,440.00"
GRACE PARK MEDICAL CENTRE,"2,273,600.00"
GRAND ROYALCARE MEDICAL CLINIC LIMITED,"2,713,200.00"
GREENVIEW NURSING HOME,"56,000.00"
GUARDIAN HOSPITAL LIMITED,"2,894,600.00"
GYNOCARE WOMENS AND FISTULA HOSPITAL LTD,"1,240,960.00"
HAVANA HOSPITAL LIMITED,"67,200.00"
HAVEN HOSPITAL BONDO,"481,600.00"
HEALTH WAVE MEDICAL SERVICES LIMITED-HOSPITAL,"2,399,600.00"
HEALTHGATE HOSPITAL LTD,"369,600.00"
HEALTHPACT HOSPITAL,"133,840.00"
HOMABAY COUNTY REFERRAL HOSPITAL,"1,509,600.00"
HOMEGROUND MEDICAL CENTRE,"33,600.00"
HOPE MATTERS INTERNATIONAL-VILLAGE OF HOPE HOSPITAL,"30,000.00"
HURUMA MATERNITY & NURSING HOME,"33,600.00"
HURUMA SUB-COUNTY HOSPITAL,"84,000.00"
IJARA SUB-COUNTY HOSPITAL,"33,600.00"
IMARA HOSPITAL EMBU,"1,820,000.00"
INNOVATION EYE CENTRE LTD,"224,000.00"
INNOVATION EYE CENTRE LTD-KISUMU,"33,600.00"
ISIOLO DRUG MART MEDICAL CENTRE,"581,240.00"
ITANDO MISSION OF HOPE AND HEALTHCARE,"4,158,320.00"
ITARC KENYA LIMITED,"324,800.00"
JALARAM NURSING &amp; MATERNITY HOME,"548,800.00"
JAMII HOSPITAL KARATINA,"1,760,080.00"
JAMII WELLNESS HOSPITAL,"112,000.00"
JARAMOGI OGINGA ODINGA TEACHING AND REFERRAL HOSPITAL,"3,247,300.00"
JESMO HOSPITAL,"44,800.00"
JORDAN HOSPITAL,"324,800.00"
JUJA ROAD MATERNITY HOSPITAL LIMITED- PANGANI,"156,800.00"
JUJA ROAD MATERNITY HOSPITAL LIMITED- RUIRU,"638,400.00"
JUMUIA FRIENDS HOSPITAL KAIMOSI,"1,915,200.00"
JUMUIA HOSPITAL HURUMA,"8,232,000.00"
KABARNET COTTAGE HOSPITAL LIMITED,"558,320.00"
KAGIO HOSPITAL LIMITED,"224,000.00"
KAGONDO EMMANUEL MISSION HOSPITAL,"2,553,600.00"
KAJIADO COUNTY REFERRAL HOSPITAL,"246,400.00"
KAKAMEGA ORTHOPAEDIC HOSPITAL,"588,000.00"
KALIMONI MISSION HOSPITAL,"313,600.00"
KANNIKA INTERNATIONAL LTD HOSPITAL-TOM MBOYA,"448,000.00"
KAPSABET COUNTY REFERRAL HOSPITAL,"309,600.00"
KAPSABET SURGICAL CARE CENTRE LTD,"235,200.00"
KENOL HOSPITAL LTD,"2,367,680.00"
KENYATTA NATIONAL HOSPITAL,"417,900.00"
KENYATTA UNIVERSITY TEACHING REFERRAL AND RESEARCH HOSPITAL,"697,900.00"
KERICHO COUNTY REFFERAL HOSPITAL,"1,022,800.00"
KERUGOYA COUNTY REFERRAL HOSPITAL,"62,700.00"
KERUGOYA FORTIS MEDICAL AND CANCER CENTRE,"1,388,800.00"
KERUGOYA MEDICAL CENTRE,"789,600.00"
KHAIRAT MEDICAL CENTRE LIMITED,"425,040.00"
KHALABA MEDICAL SERVICES,"145,600.00"
KIMA MISSION HOSPITAL,"1,192,800.00"
KIMANA ULTRACARE HOSPITAL LIMITED,"134,400.00"
KIMININI COTTAGE MISSION HOSPITAL,"755,440.00"
KINARA HOSPITAL,"145,600.00"
KINONDO KWETU HOSPITAL,"127,680.00"
KISII TEACHING AND REFERRAL HOSPITAL,"89,600.00"
KITENGELA MEDICAL SERVICES,"1,288,000.00"
KITENGELA MEDICAL SERVICES--KAJIADO,"1,551,840.00"
KITENGELA SUB-COUNTY HOSPITAL,"212,800.00"
KITUI COUNTY REFERRAL HOSPITAL,"224,000.00"
KORY FAMILY HOSPITAL KIMILILI,"1,568,000.00"
KPN PEARL HEALTH LIMITED,"33,600.00"
Kwale District Eye Centre,"33,600.00"
LADNAN HOSPITAL,"12,015,360.00"
LADNAN HOSPITAL WAJIR,"212,800.00"
LIFE POINT HOSPITAL,"380,800.00"
LIFECARE HOSPITAL LIMITED-KIKUYU,"5,778,920.00"
LIFECARE HOSPITAL LIMITED-MERU,"5,101,600.00"
LIFECARE HOSPITAL-ELDORET LIMITED,"7,632,200.00"
LIGHT HOUSE FOR CHRIST EYE CENTRE,"896,000.00"
LIMURU NURSING HOME,"168,000.00"
LIONS SIGHTFIRST EYES HOSPITAL,"5,926,800.00"
LIPTON CENTRAL HOSPITAL,"89,600.00"
LISA HOSPITAL LIMITED,"1,640,799.00"
LIVING ROOM INTERNATIONAL,"3,068,240.00"
LODWAR TUMAINI MEDICAL SERVICES,"313,600.00"
LUMINO NURSING AND MATERNITY HOME,"5,400,077.00"
LUMUMBA SUB-COUNTY HOSPITAL,"89,600.00"
MAKINDU MEDICAL CENTRE,"481,600.00"
MAKINDU SUB-COUNTY HOSPITAL,"111,000.00"
MAKUENI COUNTY REFERRAL HOSPITAL,"2,430,400.00"
MALINDI SUB-COUNTY HOSPITAL,"134,000.00"
MAMA BIRITA HOSPITAL LIMITED,"89,600.00"
MANDERA COUNTY REFERRAL HOSPITAL,"410,000.00"
MANDERA WELLNESS CENTRE ANNEX,"145,600.00"
MAO AWEYS INTERNATIONAL HOSPITAL LIMITED,"235,200.00"
MARAFA HEALTH CENTRE,"44,800.00"
MARY HELP OF THE SICK MISSION HOSPITAL,"895,800.00"
MARY IMMACULATE HOSPITAL MWEIGA,"3,802,398.00"
MARY IMMACULATE KERUGOYA HOSPITAL,"1,176,000.00"
MATIBABU FOUNDATION HOSPITAL UKWALA,"145,600.00"
MAUA METHODIST HOSPITAL,"156,800.00"
MBAGATHI COUNTY REFERRAL HOSPITAL,"854,140.00"
MEDIFORTE HOSPITAL LIMITED,"436,800.00"
MEDIHEAL HOSPITAL AND FERTILITY CENTRE LTD ELDORET,"134,400.00"
MEDILIFE HOSPITAL LIMITED,"14,244,719.00"
MEDISTAR HOSPITAL KERICHO LIMITED,"873,600.00"
MEDSTOPS HEALTHCARE KENYA,"190,400.00"
MEGALIFE HOSPITAL LIMITED,"1,489,600.00"
MEPHI HEALTH SERVICES,"576,800.00"
MERU DOCTORS PLAZA LIMITED,"3,872,020.00"
MERU TEACHING AND REFERRAL HOSPITAL,"1,792,000.00"
METROPOLITAN HOSPITAL,"12,846,400.00"
MIGORI COUNTY REFERRAL HOSPITAL,"33,500.00"
MIKULINZI NURSING HOME,"280,000.00"
MISSION CARE HOSPITAL LIMITED,"77,000.00"
MITUNGUU HOSPITAL,"280,000.00"
MODERN ABERDARE VIEW HOSPITAL LIMITED,"358,400.00"
MOKOWE HEALTH CENTRE,"226,670.00"
MOMBASA BREEZE HOSPITAL(MBH) LIMITED,"168,000.00"
MOSORIOT SUB-COUNTY HOSPITAL,"16,800.00"
MOTHER AMADEA MISSION HOSPITAL,"2,256,240.00"
MOTHER AND CHILD HOSPITAL,"134,400.00"
MOTHER ANGELA HURUMA HOSPITAL,"211,680.00"
MOTHER FRANCISCA MISSION MATERNITY AND HEALTH CENTRE,"836,400.00"
MT. KENYA ACK HOSPITAL,"3,398,640.00"
MULEMI NURSING HOME,"1,444,800.00"
MUNGOMA HOSPITAL,"201,600.00"
MURIRANJAS SUB-COUNTY HOSPITAL,"89,600.00"
MWEA MEDICAL CENTRE,"291,200.00"
MWINGI SPECIALIST HOSPITAL,"302,400.00"
NAIDU HOSPITAL LTD,"89,600.00"
NAIROBI EAST HOSPITAL LTD,"1,309,280.00"
NAIROBI WEST HOSPITAL,"436,800.00"
NAIVASHA SUB-COUNTY HOSPITAL,"167,440.00"
NAMO HOSPITAL LIMITED,"627,200.00"
NAROK COTTAGE HOSPITAL,"336,000.00"
NATIONAL SPINAL INJURY REFERRAL HOSPITAL,"1,153,600.00"
NAWAAL NURSING HOME LIMITED,"480,480.00"
NAZARETH HOSPITAL,"179,200.00"
NAZARETH RUIRU HOSPITAL,"268,800.00"
NDONYO HEALTHCARE-KWA MUHIA,"212,800.00"
NEEMA UNIVERSAL HEALTH CARE LIMITED-EMBU TOWN,"3,202,639.00"
NEW BUSIA MATERNITY &amp; NURSING HOME,"1,254,400.00"
NEW ELGON VIEW MEDICAL COTTAGE,"291,200.00"
NEWLIFE COTTAGE HOSPITAL LIMITED,"380,800.00"
NGARA COMPREHENSIVE HEALTH SERVICES LIMITED,"22,400.00"
NGONG RAPHA HOSPITAL,"357,840.00"
NORTH KINANGOP CATHOLIC HOSPITAL,"9,099,240.00"
NORTHERN SPECIALISTS HOSPITAL LIMITED,"77,840.00"
NORTHLIGHT HOSPITAL LIMITED,"145,600.00"
NOVAS SPECIALIST HOSPITAL-LODWAR(CANCER & INFECTIOUS DESEASE),"884,760.00"
NYABONDO HOSPITAL,"729,300.00"
NYAHURURU COUNTY REFERRAL HOSPITAL,"935,200.00"
NYAMBENE SUB-COUNTY HOSPITAL,"123,200.00"
NYANCHWA ADVENTIST MISSION HOSPITAL,"1,635,200.00"
NYANGENA HOSPITAL LTD,"168,000.00"
OAKWOOD HOSPITAL LIMITED,"134,400.00"
OASIS DOCTORS PLAZA,"33,600.00"
OASIS DOCTORS PLAZA MIGORI,"330,400.00"
OASIS DOCTORS PLAZA NYAMIRA,"61,600.00"
OASIS DOCTORS PLAZA WEBUYE LIMITED,"666,400.00"
OASIS SPECIALIST HOSPITAL,"1,376,400.00"
OLJABET HOSPITAL,"1,747,200.00"
OPTIMAL FAMILY LIMITED,"1,148,000.00"
ORTUM MISSION HOSPITAL,"526,400.00"
OUR LADY OF LOURDES MUTOMO HOSPITAL,"436,800.00"
OUR LADY OF LOURDES MWEA HOSPITAL,"7,374,080.00"
OUR LADY OF MERCY MISSION HOSPITAL,"3,080,000.00"
OUR LADY OF PEACE MISSION HOSPITAL CHEBUKAKA,"2,231,040.00"
OUTSPAN HOSPITAL,"1,086,400.00"
PATANISHO MATERNITY &amp; NURSING HOME,"403,200.00"
PCEA CHOGORIA HOSPITAL,"3,323,480.00"
PCEA TUMUTUMU MISSION HOSPITAL,"1,981,840.00"
PEJMED ULTRACARE SPECIALIST HOSPITAL LTD,"974,400.00"
PHADAM HOSPITAL COMPANY LTD - NASRA,"56,000.00"
PLAINSVIEW NURSING HOME LTD,"470,400.00"
PLAZA SPECIALIST HOSPITAL LIMITED,"906,400.00"
POPE BENEDICT XVI HOSPITAL,"4,188,240.00"
PORT-REITZ SUB COUNTY HOSPITAL,"33,600.00"
PREMIER HOSPITAL,"112,000.00"
PROVINCIAL GENERAL HOSPITAL ANNEX NAKURU,"481,600.00"
QASIMS HOSPITAL LIMITED,"1,820,000.00"
QUEEN ESTHER ISEBANIA MODERN HOSPITAL LIMITED,"33,600.00"
RACECOURSE HOSPITAL,"1,624,000.00"
RADIANT GROUP HOSPITAL LIMITED PANGANI,"727,440.00"
RADIANT GROUP OF HOSPITALS KASARANI SPORTSVIEW,"313,040.00"
RADIANT GROUP OF HOSPITALS KIAMBU,"1,869,840.00"
RAM HOSPITAL LTD KISII,"2,989,840.00"
RANDBURG COMMUNITY HOSPITAL,"761,600.00"
RAPHA HOSPITAL & CLINICS,"369,600.00"
RAVINE GLORY HOSPITAL LIMITED-MOGOTIO TOWN,"446,320.00"
RAVINE SPECIALISTS HOSPITAL LIMITED,"5,961,560.00"
REALE HOSPITAL UTAWALA LIMITED,"918,400.00"
REINHA ROSARY MISSION HOSPITAL,"159,600.00"
RELIANCE HOSPITAL LIMITED,"245,280.00"
RFH HEALTHCARE - SYOKIMAU,"267,120.00"
RFH HEALTHCARE -KIAMBU ROAD,"537,040.00"
RFH HEALTHCARE HOSPITAL - RUAKA,"646,400.00"
RFH HEALTHCARE-KOMAROCK,"369,040.00"
RFH HEALTHCARE-RUIRU,"693,280.00"
RFH SPECIALIST HOSPITAL,"2,999,920.00"
RIFT VALLEY PROVINCIAL GENERAL HOSPITAL NAKURU,"5,722,520.00"
ROBINS HEALTHCARE LIMITED,"1,691,200.00"
RONGAI ORTHOPAEDIC MEDICAL SERVICES - NKOROI,"2,172,800.00"
ROYAL MEDICAL HOSPITAL AND MATERNITY HOME LIMITED,"582,400.00"
ROYALSTAR FAMILY HOSPITAL LIMITED,"291,200.00"
RUAI FAMILY HOSPITAL LTD,"56,000.00"
RUIRU NURSING HOSPITAL LIMITED,"1,456,000.00"
SAINT BRIDGET HOSPITAL LTD,"179,200.00"
SAMAAD HOSPITAL,"907,200.00"
SAMJOMEN HOSPITAL LIMITED,"111,400.00"
SANEL HOSPITAL LIMITED,"190,290.00"
SAVANNAH ROYAL HOSPITAL GARISSA LIMITED,"302,400.00"
SAYYIDA FATIMAH HOSPITAL KISAUNI,"1,416,800.00"
SHAMAAL HOSPITAL,"926,760.00"
SHAMAAL HOSPITAL-BANISA LIMITED,"77,840.00"
SHAMAAL HOSPITAL-TAKABA LIMITED,"56,000.00"
SHELLY BEACH HOSPITAL,"324,800.00"
SIAYA COUNTY REFERRAL HOSPITAL,"100,800.00"
SIAYA MEDICAL CENTRE,"168,000.00"
SIHA MEDICAL HOME LIMITED MPEKETONI,"349,400.00"
SILOAM HOSPITAL LIMITED,"257,600.00"
SINAI HOSPITAL RONGAI LTD,"33,600.00"
SIRIBA NURSING HOME,"67,200.00"
SISTO MAZZOLDI HOSPITAL,"570,200.00"
SOLOLO CATHOLIC MISSION HOSPITAL,"112,000.00"
SOUTH B HOSPITAL LTD,"1,961,120.00"
SOUTHGATE MEDICAL CENTRE,"1,197,400.00"
SOUTHRIFT HOSPITAL LIMITED,"1,505,800.00"
ST JOSEPH SHELTER OF HOPE MISSION HOSPITAL,"179,200.00"
ST LUKES ORTHOPAEDIC AND TRAUMA HOSPITAL UASIN GISHU,"2,648,800.00"
ST. AKIDIVA MINDIRA HOSPITAL MABERA,"33,600.00"
ST. ANNE MISSION HOSPITAL,"968,240.00"
ST. BRIGITTAS CATHOLIC HOSPITAL,"4,186,360.00"
ST. CAMILLUS MISSION HOSPITAL KARUNGU,"268,800.00"
ST. DAMIANO MISSION HOSPITAL,"368,480.00"
ST. ELIZABETH MISSION HOSPITAL MUKUMU,"2,810,600.00"
ST. FRANCIS COMMUNITY HOSPITAL,"3,684,800.00"
ST. JOHN 'S DIVINE NURSING HOME NYERI,"1,108,800.00"
ST. JOHN OF GOD CATHOLIC HOSPITAL TIGANIA,"77,840.00"
ST. JOSEPHS MISSION HOSPITAL MIGORI,"906,800.00"
ST. JUDE NURSING HOME,"313,040.00"
ST. LEONARDS HOSPITAL,"515,200.00"
ST. MARY'S MISSION HOSPITAL RIFTVALLEY BRANCH,"243,360.00"
ST. MARYS MISSION HOSPITAL,"178,080.00"
ST. MATIA MULUMBA HOSPITAL,"246,400.00"
ST. ORSOLA MISSION HOSPITAL,"851,200.00"
ST. TERESA MATERNITY &amp; NURSING HOME -KIKUYU,"44,800.00"
ST. THERESA MISSION HOSPITAL KIIRUA,"5,947,200.00"
ST. THOMAS MATERNITY HOSPITAL,"4,653,600.00"
ST.CLARE'S KAPLONG MISSION HOSPITAL,"1,980,160.00"
ST.JAMES INFIRMARY BUSIA LIMITED,"313,600.00"
ST.JOHN'S MISSION HOSPITAL SIRENDE,"67,200.00"
STAR SPECIALIST HOSPITAL LIMITED,"232,900.00"
SUMMIT ORTHOPEDICS AND SURGICAL HOSPITAL LIMITED,"486,640.00"
SYNERGY CLINICS LIMITED,"1,303,680.00"
TABAKA MISSION HOSPITAL,"201,600.00"
TANAKA NURSING HOME BUSIA,"727,800.00"
TAWFIQ HOSPITAL,"1,377,600.00"
TAYYIBA MEDICAL CENTRE,"425,600.00"
TENWEK HOSPITAL,"18,300,893.00"
TERMARY HEALTHCARE,"487,200.00"
THAGANA COUNTY MEDICAL CENTRE,"638,400.00"
THE AGA KHAN HOSPITAL - KISUMU,"77,800.00"
THE AGA KHAN HOSPITAL MOMBASA,"9,094,209.00"
THE AGA KHAN UNIVERSITY HOSPITAL NAIROBI,"14,960,272.00"
THE AVENUE MEDICAL &amp; DIAGNOSTIC CENTRE MAUA,"33,600.00"
THE BALOZI HOSPITAL LIMITED,"1,792,000.00"
THE CHERANGANY HOSPITAL LIMITED,"257,600.00"
THE COVENANT HOSPITAL LIMITED,"44,800.00"
THE DAWAMEDS HOSPITAL LIMITED,"390,815.00"
THE KITUI HOSPITAL,"889,840.00"
THE MAKUENI DOCTORS PLAZA LIMITED,"671,440.00"
THE MATER HOSPITAL,"271,040.00"
THE MATUU HOSPITAL LIMITED,"168,000.00"
THE MOMBASA HOSPITAL ASSOCIATION,"89,600.00"
THE NAKURU SPECIALIST HOSPITAL LTD(CANCER &amp; INFECTIOUS DESEASE),"2,133,040.00"
THE NOMAD GYNO HOSPITAL,"134,400.00"
THE PINE HOSPITAL LIMITED,"1,176,000.00"
THE POLYCLINIC HOSPITAL,"414,400.00"
THE RIVER JORDAN MEDICAL CENTRE LTD,"1,678,880.00"
THE THIKA SAM'S HOSPITAL(ANNEX) LTD,"1,108,800.00"
THE VETERAN MISSION HOSPITALS LIMITED,"494,019.00"
THE WHITE CRESCENT HOSPITAL LIMITED,"1,645,280.00"
THIKA COUNTY REFERRAL HOSPITAL,"2,022,720.00"
TIGONI SUB-COUNTY HOSPITAL,"89,600.00"
TOP CARE ORTHOPAEDIC AND TRAUMA CENTRE LIMITED,"548,800.00"
TOP HILL BRAIN AND SPINE HOSPITAL,"32,011,840.00"
TOPCARE NURSING HOME,"33,600.00"
TOWNSHIP COTTAGE HOSPITAL LIMITED,"44,800.00"
TRINITY MISSION HOSPITAL LESERU,"2,027,200.00"
UNIVERSAL FAMILY HEALTH SERVICES.,"302,400.00"
USHIRIKA ELITE HOSPITAL LIMITED,"78,400.00"
VIHIGA COUNTY REFERRAL HOSPITAL,"33,600.00"
VIKAM HOSPITAL MASENO LTD,"33,600.00"
VINEYARD HOSPITAL LTD,"5,517,120.00"
WANANCHI JAMII HOSPITAL LIMITED,"447,440.00"
WEBUYE SUB-COUNTY HOSPITAL,"582,400.00"
ZAZI HOSPITALS LIMITED,"2,251,200.00"
