Provider,AMOUNT
BRAWN'S CURATIVE CENTRE,156800
Breetons Medical Centre,358400
BREETONS MEDICAL CENTRE LIMITED,105280
Brian Jake Memorial Hospital,1283360
BRIAN JAKE MEMORIAL HOSPITAL LIMITED,483840
Brighton Medical Centre,1229760
BRIGHTWAY NURSING HOME LIMITED,616000
BRILLIANCE CARE MEDICAL HOSPITAL,85120
BRIMAXA HOSPITAL LIMITED,3449000
BRISTOL PARK NURSING HOME -UTAWALA,127680
Bristol Park Hospital,77280
Bristol Park Hospital Fedha,701330
BRISTOL PARK HOSPITAL MACHAKOS,1034470
Bristol Park Hospital Utawala,13440
Bristol Park Hospital(Machakos),1016456
BRISTOL PARK HOSPITAL-KITENGELA,33520
BRIVIN MEDCARE LTD,1467200
BROADWAY HOSPITAL LIMITED,244160
Brook of Cherith Medical and Nutrition Centre,56880
BROOKS OF CHERITH MEDICAL AND NUTRITION CEN,30240
BROTHER ANDRE HOSPITAL LTD,227040
Brother Andre Medial Centre,80160
Browns Memorial Medical Centre,355600
BUCHANGU DISPENSARY,80000
BUDALANGI DISPENSARY,60000
Bugamangi Dispensary,10000
Bugina Health Centre,30000
BUJUKHALIFA HEALTH CARE LIMITED,1453760
BUJUKHALIFA HEALTHCARE LIMITED,898240
BUKAAN DEEQ NURSING HOME LIMITED,671440
BUKAYA HEALTH CENTRE,92400
Bukaya Medical Centre,273120
Bukembe Dispensary,40000
BUKEMBE HEALTH CENTRE,10000
BUKOKHOLO DISPENSARY,20000
BUKURA RURAL HEALTH DEMONSTRATION CENTRE,38960
BULA AFYA NURSING HOME LIMITED,1070720
BULA ELMI DISPENSARY,130000
BULAMU MEDICAL CLINIC,64960
BULLA AFIA MEDICAL CENTRE LIMITED,490560
BULLA DADACHA MEDICAL CLINICS LIMITED,1593520
Bulla Dana Nursing Home,1769600
BULLA ELMI DISPENSARY,20000
BULLA HAGAR DISPENSARY,10000
BULLA KUBI MEDICAL CENTRE LIMITED,1569040
BULLA MPYA NURSING HOME,6443360
BULLA POWER MEDICAL CENTRE LIMITED,2031680
BULLA TAWAKAL HOSPITAL LIMITED,387520
BULLE MEDICAL CENTRE,1491840
BULONDO HEALTH CENTRE,250000
BULSHAWI NURSING HOME LIMITED,1135680
Bulsho Healthcare Limited,1487360
BULWANI PRIVATE HOSPITAL,6720
BULWANI PRIVATE HOSPITAL LIMITED,21200
BUMALA B HEALTH CENTRE,20000
BUMULA SUB COUNTY HOSPITAL,237040
BUMULA SUB-COUNTY HOSPITAL,250800
BUNA NURSING HOME,1247680
BUNA SUB-COUNTY HOSPITAL,208160
BUNDE DISPENSARY,10000
Bungasi Health Centre,2500
BUNGOMA CHILDREN\\'S CLINIC LIMITED,40320
BUNGOMA CHILDRENS CLINIC,50400
BUNGOMA COUNTY REFERRAL HOSPITAL,31574110
BUNGOMA WEMA CENTRE,84000
BUNGOMA WEST HOSPITAL,2160280
BUNGOMA WEST MEDICAL SERVICES,2571340
BUNYORE MEDICAL CENTRE LIMITED,492640
BURA SPRINGS FAMILY MEDICAL CENTRE LIMITED,44800
BURA SUB-COUNTY HOSPITAL,170000
Bura Sub-County Hospital (Garissa),56880
Bura Tana nursing home,651840
BURA TANA NURSING HOME ANNEX,67200
BURA TANA NURSING HOME LIMITED,322560
Burburis medical centre,353920
Burder Nursing Home,1041600
BURDER NURSING HOME LIMITED,1164800
BURGUBUD NURSING HOME LTD,1563520
Burmayo Dispensary,320000
BURMAYO HEALTH CENTRE,257600
BURMAYOW DISPENSARY,326880
Burnt Forest Sub County Hospital,154370
BURNT FOREST SUB-COUNTY HOSPITAL,949770
BURUJ MEDICAL CLINIC LIMITED,676480
BUSBUS MEDICAL CENTRE LTD,1478400
Bushira Medical centre,93600
Bushiri Health Centre,180000
BUSHIRI RURAL HEALTH CENTRE,80000
BUSHRAA MEDICAL CENTRE,135520
BUSIA BASE BOARDER FAITH MEDICAL CENTRE,22400
BUSIA COUNTY REFERRAL HOSPITAL,6558968
BUSIA DISTRICT HOSPITAL,745090
Busle Nursing Home,893360
BUSLE NURSING HOME LTD,525800
BUTE NURSING HOME,342520
Bute Sub county Hospital,694800
BUTERE COUNTY HOSPITAL,638230
Butere Sub County Hospital,364240
BUTULA MISSION HEALTH CENTRE,38960
BUTULA MISSION HOSPITAL (BUSIA),6720
BUYA MEDICAL CENTRE LIMITED,1351440
Buyangu Health Centre,41200
BWAGA MOYO DISPENSARY,20000
BWAGAMOYO DISPENSARY,50000
BWANA NI MWEMA MEDICAL CENTRE,1465570
CAAFI MEDICAL CENTER LIMITED,900480
CAAWIYE NURSING HOME LIMITED,2264640
Calvary Hill Hospital,201440
Calvary Hope Medical Centre,817600
Camel Hospital,892800
CAMPEL MEDICAL CENTRE,136640
CANA FAMILY CLINIC AND RESOURCE CENTRE,197920
Cana Family Life Clinic,404800
CANA HOSPITAL,667620
Cancer Care International,5566080
CANCER CARE KENYA LIMITED,18064300
CANCER CARE KENYA LIMITED-UAP MUTUAL TOWER,13221678
CANCER CARE KENYA LIMITED-UAP OLD MUTUAL TO,6825355
CANCER CENTER OF EXCELLENCY,1129757
CANNAN HOSPITAL &amp; WELLNESS CENTRE LIMIT,53760
Cannan Hospital and Wellness Center,282960
CAPITAL MEMORIAL NURSING HOME,80640
Capital Memorial Nursing Home - Kathonzweni,26880
Capitalcare Medical Centre Ltd,134400
Cardinal Nursing Home Limited,473520
Care And Cure Hospital,967680
CARE AND CURE HOSPITAL LTD,376320
CARE CONNECT HOSPITAL,1861440
CARE HOSPITAL LIMITED,513420
CARE HOSPITAL LTD,187710
CAREGIVERS COMMUNITY HOSPITAL,452480
CAREGIVERS COMMUNITY HOSPITAL LTD,710080
Caritas community hospital,748880
Carlifonia Medical Centre,226240
CARMEL HOSPITAL,2731440
CATHOLIC DISPENSARY NGARE MARA,50000
CDM ICHAGAKI HEALTH CENTRE,44800
CEDAR HOSPITAL,3846870
Center View Medical Health Care,433360
CENTRAL MEMORIAL HOSPITAL LTD,2493340
CENTRE VIEW MEDICAL HEALTHCARE,285520
Centres For Community Health Care Access,40000
Centrumberliner Medical Center,346880
CGTRH MTONGWE OUTREACH,109760
CGTRH Mtongwe Outreach Centre,100880
CGTRH VIKWATANI OUTREACH CENTRE,50000
CHACHABOLE DISPENSARY,70000
CHACHU HEALTHCARE LIMITED,344960
CHAKAMA DISPENSARY,40000
CHAKOWUOTH HEALTH SERVICES,542080
Chalbeat Medical Centre,432320
CHALIANA MEDICAL CENTRE,54800
Chamalo Medical Clinic,80640
CHANGARA DISPENSARY,50000
CHARITY MEDICAL HOSPITAL,2834530
Chashleeda Medical Centre-Nyamira,351680
CHASHLEEDAH ANNEX MEDICAL CENTER,368400
CHASIMBA HEALTH CENTRE,10000
Chebangang Health Centre,60000
CHEBIEMIT SUB COUNTY HOSPITAL,410160
CHEBON MEDICAL CENTRE,6720
Chebon Medical Clinic,29120
CHEBORGEI HEALTH CENTRE,80000
CHEBORORWA HEALTH CENTRE,120000
Chebukaka Health Centre,241680
CHEBUKUTUMI DISPENSARY,79440
CHEBUKUTUMI HEALTH CENTRE,76160
CHEBUKWABI DISPENSARY,60000
Cheera Health Center,183680
Chegilet Health Centre,10000
Chegulo Dispensary,40000
CHEKALINI DISPENSARY,40000
CHEKALINI HEALTH CENTRE,20000
