Provider,Amount
APOSTA HEALTH CENTRE,"17,920.00"
ARAWA HOSPITAL LIMITED,"123,200.00"
ARBAJAHAN HEALTH CENTRE,"31,360.00"
ARCHER'S POST CATHOLIC HEALTH CENTRE,"320,320.00"
ARISE HOSPITAL,"60,480.00"
ASAD MEDICAL CENTRE,"408,800.00"
ASHABITO HEALTH CENTRE,"20,000.00"
ASHBURN COMMUNITY NURSING HOME,"1,653,120.00"
ASSISI NURSING HOME,"143,360.00"
ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITAL,"4,583,600.00"
ASTER HEALTHCARE LIMITED,"14,494,478.00"
ASUMBI GIRLS MEDICAL CLINIC,"4,179,840.00"
AVENUE HEALTHCARE GREENSPAN MEDICAL CENTRE,"138,450.00"
AVENUE HOSPITAL,"21,490,294.98"
AVENUE HOSPITAL THIKA,"5,286,240.00"
AVENUE HOSPITAL- KISUMU,"4,060,810.00"
AWALOW NURSING HOME LIMITED,"4,169,200.00"
BAHATI HOSPITAL JOSKA BRANCH,"69,440.00"
BAHATI SUB-COUNTY HOSPITAL,"515,200.00"
BAMA HOSPITAL LLP,"1,010,800.00"
BAMBO DISPENSARY,"340,000.00"
BANDARI DISPENSARY,"110,000.00"
BARAKA HOSPITAL,"293,440.00"
BARAKA HOSPITAL,"10,000.00"
BARAKA MATERNITY HOME,"29,120.00"
BARIKA MEDICAL CENTRE LIMITED,"3,651,200.00"
BARINGO COUNTY REFERRAL HOSPITAL,"6,407,710.00"
BAXNAN MEDICAL CENTRE,"266,560.00"
BAYAAN NURSING HOME,"85,750.00"
BAYLEAF HEALTH CENTRE,"6,930,400.00"
BEEHIVE MEDICAL SERVICES,"174,720.00"
BEGGS NURSING HOME LIMITED-MATUNDA,"3,615,360.00"
BELARISU MEDICAL CENTRE,"672,000.00"
BENMAC HEALTH CLINIC,"76,160.00"
BENTA AND LEON HEALTHCARE LTD,"395,560.00"
BENWING KAHATIA NURSING HOME,"11,200.00"
BERIL'S GWP MEDICAL CENTER,"4,419,520.00"
BESTCARE HOSPITAL LIMITED,"1,232,000.00"
BETH MEDICAL SERVICES,"701,120.00"
BETHANY HILLCREST HOSPITAL LIMITED - OLOKURTO,"98,560.00"
BETHANY HILLCREST HOSPITAL LTD - KIAMUNYI,"80,640.00"
BETHANY HILLCREST HOSPITAL- OLCHORRO,"1,532,160.00"
BETHANY HILLCREST HOSPITAL-OLPUSIMORU,"833,280.00"
BETHESDA HEALTH CARE SERVICES COMPANY LIMITED,"19,099,158.00"
BETHESDA NURSING HOME KARAGITA,"448,000.00"
BEYOND SCOPE HOSPITAL,"229,600.00"
BIBLE FAITH CHURCH MEDICAL SERVICES,"1,174,320.00"
BILABIL MEDICAL CLINIC,"1,874,880.00"
BILCIL MEDICAL CLINIC LIMITED,"1,438,080.00"
BIN-BARAKAT MEDICAL CENTRE LIMITED,"333,760.00"
BISHARO NURSING HOME LIMITED,"750,400.00"
BISHOP U. J. KIOKO CATHOLIC HOSPITAL,"9,689,238.00"
BIYAMIN NURSING HOME AND ENT SERVICES LIMITED,"105,280.00"
BIZET MEDICAL CENTRE,"985,600.00"
BLESSED COMMUNITY MEDICAL CLINIC,"1,720,000.00"
BLESSED MARIA HELENA DISPENSARY,"183,680.00"
BLESSED TO BLESS HEALTHCARE LIMITED,"2,204,160.00"
BLOOM HEALTHCARE MACHAKOS,"285,051.00"
BLOOM HOSPITAL NAKURU LIMITED,"2,822,970.00"
BLOOM SURGICAL CENTRE LIMITED - KISUMU,"1,220,240.00"
BLUE CORAL NURSING HOME LIMITED,"586,880.00"
BLUE RIDGE MEDICAL LTD,"127,800.00"
BLUE RIDGE MEDICAL - THIKA,"74,550.00"
BLUE RIDGE MEDICAL LTD -KISUMU,"20,000.00"
BLUE WHALE MEDICAL LTD,"608,640.00"
BOA DISPENSARY,"30,000.00"
BOMANI HOSPITAL LIMITED,"339,360.00"
BOMBOLULU DIAGNOSTIC MEDICAL CENTRE,"405,440.00"
BOMET HEALTH CENTRE,"10,000.00"
BONDO MEDICAL CENTRE,"434,560.00"
BONDO SUB-COUNTY REFERRAL HOSPITAL,"7,222,560.00"
BORDERPOINT MEDICAL CENTER LIMITED,"89,600.00"
BOSONGO MEDICAL CENTRE,"14,037,160.00"
BRAWN'S CURATIVE CENTRE,"739,200.00"
BREETONS MEDICAL CENTRE LIMITED,"1,538,880.00"
BRIAN JAKE MEMORIAL HOSPITAL,"86,160.00"
BRISTOL PARK HOSPITAL MACHAKOS,"154,590.00"
BRISTOL PARK HOSPITAL-KITENGELA,"806,400.00"
BROADWAY HOSPITAL LIMITED,"389,760.00"
BROOKS OF CHERITH MEDICAL AND NUTRITION CENTRE LIMITED,"305,760.00"
BROOKS OF CHERITH MEDICAL AND NUTRITION CENTRE LIMITED NYANDARUA,"258,720.00"
BROTHER ANDRE HOSPITAL LTD,"309,120.00"
BROWNS MEMORIAL MEDICAL CENTRE,"759,360.00"
BUGUMBE HEALTH CENTRE,"226,240.00"
BUKAAN DEEQ NURSING HOME LIMITED,"4,480.00"
BUKAYA MEDICAL CENTRE,"135,120.00"
BUKOKHOLO DISPENSARY,"80,000.00"
BUKOKHOLO DISPENSARY,"10,000.00"
BUKUMBURI MEDICAL CLINIC,"2,231,040.00"
BULAMU MEDICAL CLINIC,"441,280.00"
BULLA MPYA NURSING HOME,"772,400.00"
BUNGOMA CHILDREN'S CLINIC LIMITED,"645,120.00"
BUNGOMA COUNTY REFERRAL HOSPITAL,"323,150.00"
BUNGOMA WEMA CENTRE,"684,720.00"
BUNGOMA WEST HOSPITAL,"2,618,899.00"
BUNYORE MEDICAL CENTRE LIMITED,"954,240.00"
BURA SPRINGS FAMILY MEDICAL CENTRE LIMITED,"277,760.00"
BURA SUB-COUNTY HOSPITAL,"120,000.00"
BURA TANA NURSING HOME LIMITED,"342,720.00"
BURMAYO HEALTH CENTRE,"633,920.00"
BURNT FOREST SUB-COUNTY HOSPITAL,"3,233,000.00"
BURUJ MEDICAL CLINIC LIMITED,"848,960.00"
BUSHRAA MEDICAL CENTRE,"571,200.00"
BUTE NURSING HOME,"585,080.00"
BUTERE COUNTY HOSPITAL,"1,813,280.00"
BUTERE SUB COUNTY HOSPITAL,"26,720.00"
BUTINGO DISPENSARY,"10,000.00"
BWANA NI MWEMA MEDICAL CENTRE,"624,280.00"
BWARE COMPLEX HEALTHCARE LIMITED,"2,466,240.00"
CALVARY HOPE MEDICAL CENTRE,"2,853,760.00"
CANA HOSPITAL,"1,736,000.00"
CANCER CARE INTERNATIONAL,"3,632,631.13"
CANCER CARE KENYA LIMITED,"3,128,300.00"
CANCER CARE KENYA LIMITED-UAP OLD MUTUAL TOWER,"1,242,751.00"
CANCER CENTER OF EXCELLENCY,"123,909.00"
CANNAN HOSPITAL & WELLNESS CENTRE LIMITED,"2,040,640.00"
CARDINAL NURSING HOME LIMITED,"1,881,600.00"
CARE AND CURE HOSPITAL LTD,"1,135,680.00"
CARE HOSPITAL LTD,"343,920.00"
CAREGIVERS COMMUNITY HOSPITAL,"969,920.00"
CAREMARK HOSPITAL,"191,200.00"
CARITAS COMMUNITY HOSPITAL,"324,800.00"
CARMEL HOSPITAL,"448,000.00"
CEDAR HOSPITAL,"2,022,550.00"
CENTRAL MEMORIAL HOSPITAL LTD,"2,254,190.00"
CHARITY MEDICAL HOSPITAL,"958,270.00"
CHEBIEMIT SUB COUNTY HOSPITAL,"89,600.00"
CHEBUKUTUMI HEALTH CENTRE,"739,200.00"
CHELYMO MEDICAL CENTRE,"22,840,160.00"
CHEPKUBE HEALTH CENTRE,"8,960.00"
CHEPTUR HEALTH SERVICES,"13,440.00"
CHEPTYA DISPENSARY,"30,000.00"
CHESOI HEALTH CENTRE,"379,999.00"
CHESOI HEALTH CENTRE,"150,000.00"
CHESONGOCH HEALTH CENTRE,"10,000.00"
CHESONGOCH MISSION HOSPITAL,"1,623,440.00"
CHIROMO LANE MEDICAL CENTRE ANNEX,"1,276,800.00"
CHIROMO MENTAL HEALTH HOSPITAL -NAIROBI LIMITED,"6,115,200.00"
CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOSPITAL LIMITED,"36,751,040.00"
CHOMBELI HEALTH CENTRE,"10,000.00"
CHRISTAMARIANNE MISSION HOSPITAL (ASUMBI),"18,214,949.00"
CHRISTIAN MISSION INTERNATIONAL-SAMBOCHO HEALTH CENTRE,"8,960.00"
CHUMVI DISPENSARY,"30,000.00"
CHWELE FOUNTAIN HOSPITAL,"11,200.00"
CHWELE SUB COUNTY HOSPITAL,"2,207,520.00"
CHWELE SUB COUNTY HOSPITAL,"13,440.00"
CIALA HOSPITAL KISUMU LIMITED,"33,600.00"
CITY EYE HOSPITAL,"14,757,480.00"
CITY EYE HOSPITAL LIMITED,"7,711,598.00"
CITY GATE DOCTORS PLAZA LTD,"801,990.00"
CKS DIALYSIS CENTRE - BURUBURU,"394,050.00"
CKS DIALYSIS CENTRE PANGANI,"500,550.00"
CKS HOSPITAL LIMITED-KIMUKA,"95,850.00"
COMFY HEALTHCARE LIMITED,"87,360.00"
COMMUNAL ORIENTED SERVICES,"896,000.00"
CONSOLATA HOSPITAL KYENI,"20,517,280.00"
CONSOLATA COTTAGE HOSPITAL CHUKA,"15,001,280.00"
CONSOLATA HOSPITAL GITORO,"448,000.00"
CONSOLATA HOSPITAL MATHARI,"10,052,257.00"
CONSOLATA HOSPITAL NKUBU,"25,516,200.00"
COPTIC HOSPITAL - LUANDA,"579,000.00"
COPTIC HOSPITAL - NGONG ROAD,"8,090,200.00"
COPTIC HOSPITAL-SALGAA,"191,520.00"
COTTOLENGO MISSION HOSPITAL,"1,429,680.00"
COUNT MEDICAL AND DIAGNOSTIC LIMITED,"806,800.00"
COUNTY MEDICAL CENTRE EMBU LTD,"4,798,470.00"
CRESCENT COMMUNITY HOSPITAL LIMITED,"10,460,800.00"
CROWN SPECIALIST CENTRE,"12,330,599.00"
CRYSTAL COTTAGE HOSPITAL & MEDICAL CLINIC LTD,"4,177,600.00"
CUSTOM MEDICAL CENTER,"413,800.00"
CYFAR MEDICAL,"10,000.00"
CYNERT HOSPITAL AND REHABILITATION CENTRE LTD,"24,640.00"
DADAAB MEDICAL CENTRE LIMITED,"20,160.00"
DAHKAH MEDICAL CENTRE LIMITED,"8,960.00"
DANABA HEALTH CENTRE,"49,280.00"
DANIEL COMBONI HEALTH CENTRE,"271,040.00"
DANMOSON OASIS MEDICAL AND DIAGNOSTIC CENTRE LIMITED,"246,000.00"
DARUSALAAM HOSPITAL,"2,810,080.00"
DAWADUBA NURSING HOME LTD,"680,960.00"
DERTU HEALTH CENTRE,"311,360.00"
DIANI BEACH HOSPITAL,"4,576,840.00"
DIANI BEACH HOSPITAL LIMITED-SHIKA ADABU,"2,828,180.00"
DIGDAR MEDICAL CENTRE LIMITED,"2,365,440.00"
DILMANYALEY HEALTH CENTRE,"91,200.00"
DIVINE MERCY ALUOR HEALTH CENTRE,"1,090,880.00"
DOM COTTOLENGO HEALTH CENTRE - MUKOTHIMA,"120,960.00"
DOPHIL NURSING & MATERNITY HOME NOMIYA FAITH BASED,"1,945,440.00"
DORAN LIFE CARE CENTRE,"1,005,760.00"
DR AGARWALS EYE HOSPITAL,"7,490,560.00"
DR.AGARWAL'S EYE HOSPITAL,"106,400.00"
DR.KALEBI LABS (DKL) LTD,"59,000.00"
DUNTOW NURSING HOME LIMITED,"20,160.00"
DURO MODERN HOSPITAL LIMITED,"611,520.00"
DWELE HEALTH CENTRE,"53,760.00"
DZIKUNZE DISPENSARY,"10,000.00"
EAGLE HEALTH AND CLINIC SERVICES,"6,221,600.00"
EAGLE HEALTH AND CLINIC SERVICES RIRUTA BRANCH,"346,000.00"
EASTEND DOCTORS PLAZA MEDICAL CENTRE LIMITED,"89,600.00"
EASTGATE MEDICAL CENTRE,"636,160.00"
EASTVALLEY NURSING HOME,"16,720.00"
EBENEZER MEDICAL CENTRE BRIGADIA,"200,000.00"
EBENEZER NURSING HOME,"10,000.00"
EDELVALETRUST JAMAA HOME AND MISSION HOSPITAL,"436,650.00"
EDESA MEDICARE BUNGOMA,"1,218,560.00"
EKALAKALA HEALTH CENTRE,"82,880.00"
EKALAKALA NURSING HOME LIMITED,"3,380,160.00"
EKAMBULI HEALTH CENTRE,"642,880.00"
EL-MAKKAH COMPREHENSIVE CARE,"107,520.00"
EL-SIHA MEDICAL CENTRE LIMITED,"11,200.00"
ELBI HEALTHCARE LIMITED,"2,076,480.00"
ELBURGON SUB-COUNTY HOSPITAL,"525,280.00"
ELDAMA RAVINE NURSING HOME,"2,188,480.00"
ELDAMA RAVINE SUB-COUNTY HOSPITAL,"1,228,400.00"
ELDAS SUB-COUNTY HOSPITAL,"1,797,600.00"
ELDO EYE CENTER LIMITED,"3,293,000.00"
ELDORET HOSPITAL,"5,673,711.00"
ELDORET HOSPITAL-KERICHO BRANCH,"74,550.00"
ELDORET MEDICAL SPECIALISTS CENTRE,"246,400.00"
ELDORET ONCOLOGY ASSOCIATES,"2,071,630.00"
ELELE NOMADIC CLINIC/IRESKINTO,"720,000.00"
ELGOLICHA HEALTH CENTRE-MANDERA,"38,080.00"
ELGON VIEW HOSPITAL LIMITED,"134,400.00"
ELIMAT GROUP NURSING HOME(BUKHAKUNGA) LIMITED,"1,576,960.00"
ELQALU NURSING HOME LTD,"801,920.00"
ELSHAREEFA NURSING HOME,"591,360.00"
ELUUYA DISPENSARY,"10,000.00"
ELWAK COTTAGE NURSING HOME,"470,400.00"
ELWANGALE HEALTH CENTRE,"13,440.00"
EMALI SUB COUNTY HOSPITAL,"96,320.00"
EMBU CHILDREN HOSPITAL,"1,520,600.00"
EMBU CHILDREN\'S CLINIC,"5,040,000.00"
EMBU COUNTY REFERRAL HOSPITAL,"33,198,210.00"
EMMANUEL COMMUNITY HOSPITAL LIMITED,"137,200.00"
EMMANUEL MISSION HEALTH CENTRE,"602,560.00"
EMORY HOSPITAL LIMITED,"1,895,540.00"
EMUHAYA SUB-COUNTY HOSPITAL,"15,680.00"
EMURUTOTO HEALTH CENTRE,"42,560.00"
ENDARASHA RURAL HEALTH CENTRE,"310,000.00"
ENDEBESS SUB-COUNTY HOSPITAL,"77,280.00"
ENDO HEALTH CENTRE MISSION,"609,280.00"
ENGINEER COUNTY HOSPITAL,"134,400.00"
ENKISUKUDO DISPENSARY,"30,000.00"
ENKITOK JOY NURSING HOME,"49,280.00"
ENOCKHAN HOSPITAL LTD,"1,724,800.00"
ENTASOPIA HEALTH CENTRE,"70,000.00"
ERETETI DISPENSARY,"40,000.00"
ESHIABWALI HEALTH CENTRE,"13,440.00"
ESHIBEMBE HEALTH CENTRE,"78,400.00"
ESHIBINGA HEALTH CENTRE,"255,360.00"
ESHIMKOKO HEALTH CENTRE,"64,960.00"
ESIARAMBATSI HEALTH CENTRE,"98,960.00"
ESONORUA DISPENSARY,"160,000.00"
ESTEEMED KUTUS MODERN HOSPITAL,"7,952,000.00"
EVANS SUNRISE MEDICAL CENTRE,"61,600.00"
"EXCEL HEALTH SERVICES, GARISSA","1,624,000.00"
EYE & U NAKURU LIMITED,"257,600.00"
F.S.J ST. THERESA ASUMBI MISSION HOSPITAL,"13,340.00"
FAIRFIELD MEDICAL CENTRE KITENGELA LTD,"106,500.00"
FAIRMONT HOSPITAL,"595,000.00"
FAMILIA BORA MEDICAL CENTRE,"38,080.00"
FAMILYFIRST MEDICAL CENTRE LIMITED,"89,600.00"
FATIMA MISSION HOSPITAL,"107,520.00"
FAVOUR MEDICAL SERVICES,"610,400.00"
FIGO CARE PLUS (K )LTD UPPER HILL,"330,150.00"
FIGO CARE PLUS(K) LIMITED,"820,050.00"
FINA NURSING HOME,"28,960.00"
FINE-HEALTH MEDICAL CENTRE AND MATERNITY,"13,440.00"
FINO NURSING HOME LIMITED,"963,200.00"
FIRENZE NURSING HOME LIMITED,"67,200.00"
FIRST CHOICE HOSPITAL LTD,"327,040.00"
FLAMINGO MEDICAL CENTRE,"1,234,160.00"
FORTIS KIDNEY CENTER LIMITED,"191,700.00"
FORTTENAN SUB COUNTY HOSPITAL,"50,000.00"
FOUNTAIN HEALTHCARE LIMITED,"1,558,480.00"
FOUNTAIN HEALTHCARE LTD BUNGOMA,"1,244,320.00"
FPFK NYAMBARE MISSION HOSPITAL,"20,160.00"
FREVANE HOSPITAL,"23,520.00"
FRIENDS CHURCH SABATIA EYE HOSPITAL,"12,518,719.00"
FRIENDS LUGULU HOSPITAL,"4,974,439.00"
FURAHA MEDICAL CARE,"5,365,920.00"
FUTURE LIFE COMMUNITY NURSING HOME,"488,320.00"
GACAL BUDGET HOSPITAL,"2,688,000.00"
GAICHANJIRU CATHOLIC HOSPITAL,"1,183,880.00"
GALAXY HOSPITAL LIMITED,"7,859,078.00"
GALILEE HOSPITAL KITALE LIMITED,"3,006,400.00"
GANJONI HOSPITAL MOMBASA LIMITED,"33,600.00"
GARISSA COUNTY REFERRAL HOSPITAL,"8,966,990.00"
GARISSA DOCTORS PLAZA,"1,737,120.00"
GARISSA ENT MEDICAL CENTRE,"1,531,040.00"
GARISSA NURSING HOME,"143,000.00"
GARSIN HEALTHCARE AND NURSING HOME LTD,"73,920.00"
GATEWAY POINT HOSPITAL LIMITED,"2,158,160.00"
GATUNDU COUNTY REFERRAL HOSPITAL,"395,440.00"
GATUNGA CATHOLIC HEALTH CENTRE,"510,720.00"
GENERATION AND VISIONARY MEDICAL CENTRE,"950,800.00"
GERMAN MEDICAL CENTER MACHAKOS,"21,493,280.00"
GERTRUDES GARDEN CHILDREN'S HOSPITAL,"1,748,320.00"
GESOW HEALTHCARE LIMITED,"154,560.00"
GETENDE NURSING HOME,"6,023,360.00"
GETWAY MEDICAL SERVICES,"143,360.00"
GICHIRA HEALTH CENTREX,"143,000.00"
GIFTED HANDS REGIONAL HOSPITAL,"548,400.00"
GIFTED MINDS MEDICAL CENTRE,"586,880.00"
GILBERT OBORA PEDO HEALTH CENTRE,"141,120.00"
GILGIL SUB-COUNTY HOSPITAL,"1,912,960.00"
GIOVANNA -E- SYLVIA MEDICAL CENTRE,"24,640.00"
GITA SUB-COUNTY HOSPITAL,"56,000.00"
GITHONGO SUB-COUNTY HOSPITAL,"130,000.00"
GITHUNGURI HEALTH CENTRE,"510,000.00"
GITHURAI LANGATA HEALTH CENTRE,"290,000.00"
GIVUDIMBULI HEALTH CENTRE,"31,360.00"
GLENFIN DONHOLM HOSPITAL LIMITED,"1,030,400.00"
GOD AGULU,"26,880.00"
GODBURA HEALTH CENTRE,"163,520.00"
GOLGOTHA MEDICAL CENTRE,"2,359,760.00"
GOOD HOPE HEALTH LIMITED,"63,900.00"
GOODWILL COTTAGE HOSPITAL,"14,807,640.00"
GOT-ADE NURSING HOME LIMITED,"6,720.00"
GOTANI MODERN HEALTH CENTRE,"700,000.00"
GRACE PARK MEDICAL CENTRE,"17,399,960.00"
GRAND ROYALCARE MEDICAL CLINIC LIMITED,"8,321,600.00"
GRANTON & DOLLY NURSING HOME LIMITED,"2,961,280.00"
GRAYS MEDICAL CENTRE LIMITED,"145,600.00"
GREENVIEW NURSING HOME,"2,202,620.00"
GUDA NURSING HOME,"134,400.00"
GUMBA HEALTH CENTRE,"60,000.00"
GURU NANAK RAMGARHIA HOSPITAL,"1,471,680.00"
GYNOCARE WOMENS AND FISTULA HOSPITAL LTD,"222,880.00"
HABIB NURSING HOME,"342,720.00"
HADADO MATERNITY AND NURSING HOME LIMITED,"58,240.00"
HADADO SUB-COUNTY HOSPITAL,"180,000.00"
HALCYON HEALTHCARE LIMITED,"694,400.00"
HARAY NURSING HOME,"837,760.00"
HARWALE DISPENSARY,"150,000.00"
HAVANA HOSPITAL LIMITED,"313,600.00"
HAVEN HOSPITAL BONDO,"2,530,220.00"
HAWI FAMILY HOSPITAL,"1,343,120.00"
HEALTH WAVE MEDICAL SERVICES LIMITED-HOSPITAL,"3,969,360.00"
HEALTHGATE HOSPITAL LTD,"1,314,430.00"
HEALTHPACT HOSPITAL,"36,960.00"
HELFEN MEDICAL CENTRE,"203,840.00"
HELMI JONAS HEALTH CENTRE URADI,"72,240.00"
HEMA HOSPITAL,"3,941,280.00"
HENRY MADUMA COMMUNITY MEDICAL CENTER LIMITED,"49,280.00"
HILLVIEW NURSING HOME TAKABA LIMITED,"8,960.00"
HOLSOMS ANNEX KEUMBU,"107,520.00"
HOLSOMS NURSING HOME,"20,160.00"
HOLY FAMILY CATHOLIC MISSION HOSPITAL,"8,960.00"
HOLY FAMILY HOSPITAL NANGINA,"528,640.00"
HOMABAY COUNTY REFERRAL HOSPITAL,"6,316,630.00"
HOMEGROUND MEDICAL CENTRE,"235,200.00"
HOMEPEARL MEDICAL CLINIC,"35,840.00"
HONGO OGOSA HEALTH CENTRE,"8,960.00"
HOPE FOR WIDOWS AND CHILDREN FOUNDATION NURSING HOME,"6,720.00"
HOPE HARTSHILL CLINIC,"44,800.00"
HOPE MATTERS INTERNATIONAL-VILLAGE OF HOPE HOSPITAL,"419,920.00"
HOPECARE HOSPITAL LIMITED,"185,920.00"
HOUSE OF HOPE MEDICAL CENTRE,"117,520.00"
HUDUD WELLNESS CENTRE LIMITED,"98,560.00"
HUNTER MEDICAL CENTRE RUNYENJES,"24,640.00"
HURUMA HOSPITAL-MATHARE NORTH ANNEX,"30,240.00"
HURUMA MATERNITY & NURSING HOME,"164,640.00"
HURUMA SUB-COUNTY HOSPITAL,"67,200.00"
ICF NURSING HOME,"22,000.00"
IJARA SUB-COUNTY HOSPITAL,"235,200.00"
IKALYONI DISPENSARY,"10,000.00"
IKEREGE LIFECARE MEDICAL CENTER LTD,"67,200.00"
IKUTHA SUB-COUNTY HOSPITAL,"1,780,000.00"
ILKILORIT DISPENSARY,"120,000.00"
IMANI YAKO MEDICAL CLINIC,"371,840.00"
IMARA HOSPITAL EMBU,"15,521,520.00"
IMMACULATE HEART OF MARY MISSION HOSPITAL KILIMAMBOGO,"89,600.00"
INNOVATION EYE CENTRE LTD,"4,491,200.00"
INNOVATION EYE CENTRE LTD-KISUMU,"212,800.00"
INTERAIL COMMUNITY HEALTH SERVICES LTD,"1,480,640.00"
IQRA MEDICAL CENTRE AND NURSING HOME,"47,040.00"
IRWAGA HEALTH CENTRE,"180,000.00"
ISEGERE TOTO CLINIC,"1,384,320.00"
ISIBANIA MISSION HEALTH CENTRE,"20,160.00"
ISIOLO DRUG MART MEDICAL CENTRE,"268,240.00"
ITANDO MISSION OF HOPE AND HEALTHCARE,"4,272,240.00"
ITARC KENYA LIMITED,"1,151,360.00"
ITEN COUNTY REFERRAL HOSPITAL,"659,590.00"
ITHANGA HEALTH CENTRE,"320,000.00"
IVORY HEALTH SOLUTIONS LIMITED GITHUNGURI,"69,440.00"
J.M KARIUKI MEMORIAL COUNTY REFERRAL HOSPITAL,"761,250.00"
JALARAM NURSING & MATERNITY HOME,"470,400.00"
JAMBO KIDNEY CARE LIMITED,"202,350.00"
JAMII HOSPITAL KARATINA,"5,836,320.00"
JAMII MEDICAL CENTRE - EMBAKASI,"165,680.00"
JAMII WELLNESS HOSPITAL,"799,680.00"
JANICE CHOLERTON MEDICAL & CANCER CENTRE,"2,487,200.00"
JARAMOGI OGINGA ODINGA TEACHING AND REFERRAL HOSPITAL,"63,515,375.00"
JED BLOSSOMS HOSPITAL LIMITED,"12,240.00"
