Provider,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb
ALPHIL MEDICAL CENTRE LIMITED-KABURWO,,,106875,,,,,
Alpo Medical Centre,"22,400",6720,91680,168000,38080,292080,,306560
Al-Rahman Nursing Home,"73,920",29120,331520,323600,116480,990080,,760240
AL-SHIFAAT NURSING HOME,,,,598080,1415680,1794240,,1330560
AL-SIHA NURSING HOME,,,,1097600,2384160,1481440,,1169200
ALUNGU DISPENSARY,,,,,20000,360560,,176320
Aluor Mission Health Centre,,,195920,232800,103040,290000,39120,739120
Alupe Sub County Referral Hospital,30160,,473920,,,,,
Alupe Sub-County Hospital,,,,280080,23520,70000,300160,303680
AL-zahrawi nursing home,"17,920",,889280,468160,183680,873600,,795200
AMANE COTTAGE HOSPITAL,,,36880,,,98960,,51200
Ambercare Medical Care,,,11200,,,,,
Ambira Sub-County Hospital,"16,720",39870,293200,281840,44800,545520,,585360
AMINA COMMUNITY HOSPITAL CENTRE LIMITED,"2,240",15050,11200,,17920,20160,,15680
AMOYO DISPENSARY,,,,5000,,,,
Amukura Mission Health Centre,,,66000,48080,49280,181280,,336140
AMURT HEALTH CARE CENTRE MALINDI- MUYEYE CLINIC,,,30000,,,,,10000
Andersen Medical Centre,"30,160",,172320,73760,69280,148720,3280,235120
Andiwo Health Center,"10,000",,50000,,10000,20000,20000,50000
Anfac Nursing Home,22400,,188160,147840,94080,707840,,647360
Angata Health Centre,,,40000,20000,,140000,,270000
ANG'IYA DISPENSARY,,,,,30000,30000,,80000
Anka Hospital,"672,000",30000,548800,436800,10000,291200,89600,
Anka Hospital Isiolo,"63,840",10000,181440,221760,90640,561120,,604720
Ankara Nursing Home,"228,480",67200,649600,631680,360640,1797600,,2117920
Annex Hospital (Nakuru),"1,261,760",706480,2517680,1001520,605680,2040720,525040,2058400
Annex loc.Medical clinic,,,,,149440,733760,,337440
ANNUNCIATION MISSION DISPENSARY MWIHOKO,,,9000,,,,,9000
ANOLE DISPENSARY,,,,10000,,70000,30000,10000
Ansar Medical Clinic,"10,080",10000,419600,117600,94080,398720,47040,527360
APEX SPECIAL CLINICS AND WELLNESS CENTRE LTD,,8000,,,,268800,,225120
Apida Medical Centre,"416,640",24640,893760,938560,389760,1485120,,1874880
Appex Hosp,"11,200",,25680,40320,22400,92880,,72720
Apu Health Centre,,,,10000,20000,50000,,70000
Arabia Health Centre,137760,13440,53760,140960,103840,1000800,,892000
ARAWA HOSPITAL,,,,126720,6720,197440,,23440
ARC Waraba Medica Centre,"56,880",10000,401200,408560,87680,689280,,960720
ARCHERS POST HEALTH CENTRE,40000,100000,52500,10000,10000,10000,,192560
ARESA DISPENSARY,,,,,90000,60000,70000,80000
Arise Hospital Limited,,26150,32400,8960,17920,33600,,31360
Arizona Medical Center Limited,112000,20420,112000,96320,109760,356160,53760,309120
AROHA CANCER CENTRE LTD,,,,,2501900,409300,253050,
Arror Health Centre,"11,200",,462320,217120,109760,765440,,438160
Arrows Care Medical Centre,"275,520",22400,67200,613760,224000,1187200,,5201280
Asad Medical Centre,16800,,100800,84000,30240,225120,,204960
Ashburn Ohuru Nursing Home,"564,480",6720,492800,507280,553280,1514080,,1803600
ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITAL,,,,,1042880,3422075,,1513660
Asumbi Mission Hospital,"245,120",141120,971200,1247120,134400,2197360,,1363200
ATHI KAMUNYUNI DISPENSARY,,,20000,,,,,30000
ATIMIROS MEMORIAL,,,147680,,6720,,16800,13440
AVENUE HEALTHCARE LTD,,,,,14250450,4076818,,4032551
Avenue Hospital Kisumu,2442090,874110,4561790,2228890,962470,3425120,720160,4828880
AVENUE HOSPITAL THIKA,,,,,8672606,16489357,,4578083
Awasi Mission Health Center,126320,4800,219560,99280,13440,315120,,328240
Awendo Sub-County Hospital,"13,440",,123440,23440,6720,217600,16720,354480
Ayale Medicare and Nursing Home,"67,200",153030,340800,403200,181440,1400000,,2463760
B & L Healthcare(Naivasha),"149,100",106500,1131290,866840,244380,1579010,,1990050
Baari Health Centre,"10,000",10000,70000,80000,10000,60000,,150000
Babadogo Health Centre,,,230000,70000,20000,350000,,350000
Bacasavi Medical Centre,"577,030",218770,386625,409470,143460,,305870,
BAHATI HOSPITAL JOSKA BRANCH,59475,,34480,105840,90160,104480,,47880
Bahati Rural Health Centre,,,10000,,,,,
BAHATI SUB COUNTY HOSPITAL,,,,,717119,1170000,,1183000
BAHATI SUB-COUNTY HOSPITAL,"80,000",50000,180000,,,180000,,310000
BALAMBALA SUB-COUNTY HOSPITAL,,,13440,47040,20000,60320,23520,20000
Balatula Amin Dispensary,,,10000,20000,,90000,10000,30000
BALDO IPPOLITA CATHOLIC HEALTH CENTRE,,,,10000,,82560,,78140
Balozi Hospital LTD,"211,120",,449640,1658080,681600,1218000,603040,146160
Bama Hospital,,,131040,228240,,340640,,274960
Bamba Maternity Nursing Home,"11,200",,78240,35840,30160,101840,20000,125280
Bamba Sub-County Hospital,,,520000,180000,60000,352240,160000,471200
BAMBA SUB-DISTRICT HOSPITAL,,,,,60000,70000,10000,60000
Bamboo Health Centre,"10,500",,29500,,,89500,10000,70000
BANGAL NURSING HOME LIMITED,,,,1260000,2768160,1979040,,1463520
BANIS NURSING HOME,"60,480",16800,426720,379680,225120,682080,,594720
BANITA DISPENSARY,,,,,10000,,,10000
Baolala Dispensary,,,40000,10000,30000,50000,,110000
BAR ALURU DISPENSARY (RARIEDA),,,,,10000,,,
Bar Korwa Health Centre,"627,440",78240,674800,968720,392000,3015040,,2443840
Bar Ndege Dispensary,,,20000,,10000,,,100000
Baragoi Sub-County Hospital,,,40000,,30000,30000,,30000
Baraka Hospital,"30,240",10000,160800,97120,56880,33360,67200,20000
BARAKA MATERNITY NURSING HOME,,,,30000,,40000,,160000
Barakeiywo Dispensary,,,150160,20000,,,30000,
Bareen Hospital,,,282240,672000,221760,792960,219520,1064000
Baricho Catholic Health Centre,"300,820",33480,136640,138880,89600,161280,47040,302400
Baricho Dispensary,,,10000,,,,,10000
Baricho Subcounty Hospital,,,100000,30000,30000,80000,,60000
BARIKA MEDICAL CENTRE LTD,,,,134400,134400,,,
BARINGO COUNTY REFERRAL HOSPITAL,,,,,4395048,9676900,8187330,4810810
BARIO MEDICAL CENTER LIMITED,,,448000,181440,139920,530880,,478000
BAROTION (AIC) DISPENSARY,,,,10000,,30000,,40000
BARTABWA HEALTH CENTRE,,11000,,,10000,30000,10000,10000
Barts Medical Limited,"344,960",197120,622720,441280,230720,754880,,898240
BARWAQO DISPENSARY,,,,10000,10000,10000,,10000
Barwessa Health Centre,,,60000,40000,,70000,20000,30000
Bay Leaf Health Center,"489,198",,1146478,306640,426480,1781760,123040,260560
Bay Pharm OPD & Optic Clinic,"138,880",13440,288960,212800,266560,822080,,1072960
BAYAAN NURSING HOME,,,,,1959540,6586350,,3477060
BEGGS NURSING HOME LIMITED-MATUNDA,,,,296720,1041625,661520,,429920
Bekam Medical Centre,,,,42560,11200,20000,,59280
Benglad Family Care Clinic,"106,301",29440,449440,211600,291200,441120,65520,484880
Benmac Clinic,64480,,120000,214960,55680,201200,,249120
Beramo Dispensary,,,,,40000,141000,,
Beril's GWP Medical centre,"40,320",,275520,369600,96320,922880,,1469280
BESHARA STREET NURSING HOME,,,,176480,8960,383920,,
Bestcare Hospital Ltd,"254,000",97040,651120,361120,426880,1070400,,981200
Beta Care Hospital,"83,440",30000,123760,83440,23520,70000,50000,80000
Bethany Hill Crest Hospital,"50,400",1500,862320,813040,316880,926460,,1012480
Bethesda Health Care Services Company Limited,,,1545960,625440,1409040,2953840,431920,469040
BETHLEHEM HOME HOSPITAL,"13,440",,63760,620480,454720,639280,126640,239360
Better Living Hospital,"13,440",,22400,96320,4480,26880,78400,71680
BEYOND SCOPE HOSPITAL,,,,3063400,,1782840,,344880
BIBLE FAITH CHURCH MEDICAL SERVICES,,,,10000,64480,210000,,150000
BIKEKE HEALTH CENTRE,,,20000,20000,14480,135680,,108960
Bilabil medical clinic limited,"24,640",,342720,284480,185920,743680,,779520
Bin Insan Nursing Home,,,400960,235200,192640,627200,,546560
Bingwa Afya Clinic(Naivasha),,11200,22400,56000,,154560,,109760
BIRETWO HEALTH CENTRE,,,100000,50000,10000,40000,,120000
Birkan Dispensary,,,,20000,20000,100000,,80000
Bisharo Nursing Home (Hola),,,,,29120,259840,,313600
Bishop Kioko Catholic Hospital,2124750,148640,2926705,1012900,1854490,3787290,,4042450
BISSIL HEALTH CENTRE,,,,,10000,10000,10000,
Bisunu Dispensary,"10,000",,30000,,,40000,,80000
Bituyu Dispensary,,,10000,,,,,
BIZET MEDICAL CENTRE,,,,,2234320,1251760,,993920
BLESSED COMMUNITY MEDICAL CLINIC,"15,680",,20000,2240,,42240,10000,40000
Blessed to Bless Hospital,15680,,89440,102720,31360,89440,19840,289520
BLISS GVS HEALTHCARE LIMITED MTWAPA,,,10000,10000,,30000,,30000
BLISS MEDICAL CLINIC MUMIAS,"17,920",,76160,60480,42560,11200,31360,
BLOOM HEALTHCARE MACHAKOS,,,,9155900,515050,1239100,,1405800
BLOOM SURGICAL CENTRE LIMITED -KISUMU,,,,756317,40320,117600,,77280
Blue Light Nursing Home,"303,640",150040,631210,112020,147280,1173250,,933960
Blue Nile Medical Clinic,23440,,161280,156800,60480,856720,,445760
Blue Ridge Medical-Thika,"788,100",170400,1033050,457950,,585750,127800,372750
Blue valley springs hospital,"985,590",355488,1057720,137520,161040,567920,,382480
Blue Whale Medical Limited,,,1515920,5985280,477400,876400,504000,
Blueturtle,"73,760",5750,131520,118400,33600,256240,23440,185600
BNM,"400,980",1544900,1466310,1317240,935610,1731710,,3913100
BODAKI MEDICARE LIMITED,,,37350,,,,,
Bogwendo Health Centre(Manga),"10,000",,,,,20000,,
Bokole CDF Dispensary,"30,000",,80000,40000,50000,60000,,110000
Bokoli Sub-County Hospital,,,294240,227840,127440,518320,2960,297680
BOMANI HOSPITAL LIMITED,,,,332640,423360,920640,,635040
Bombululu Medical Clinic,,,40000,,10000,149440,,299040
BOMET HEALTH CENTRE,"10,000",,,,,,,
Bomu Medical Hospital (Changamwe),,,917840,908960,196720,572560,89120,524800
Bondeni Sub County Hospital,,,130000,50000,70000,140000,,343360
Bondo Medical Clinic,,,4480,53760,24640,71680,,160080
BONDO SUB-COUNTY REFERRAL HOSPITAL,,766545,2113480,738480,544800,2312730,268110,2081970
BORANGI HEALTH CENTRE,,,10000,,,40000,,30000
Bore Hole 11 Health Centre,,,100000,270000,20000,410000,,280000
BORO DISPENSARY,,,30000,10000,,,20000,10000
Bosiango Health Centre,,,40000,20000,,44480,15520,73440
BOSONGO MEDICAL CENTRE,,,6579610,15201800,4051060,9671000,17107370,9990320
BP1 Dispensary,,,,10000,,100000,,110000
BRAIN SPINE AND REHABILITATION,,,212800,504000,13440,479360,,6720
Breetons Medical Centre,,,351680,138880,,712320,,815360
Brillian Doctors Plaza Hospital,,,64960,4480,4480,13440,22400,78400
BRILLIANCE CARE MEDICAL HOSPITAL,,,10000,13440,10000,185760,,146640
Brimaxa Hospital Limited,,,,4062120,816240,2194160,34720,2162600
Bristol Park Hospital,,,389280,6720,,23520,6720,83760
Bristol Park Hospital Fedha,"42,600",,625370,344800,411870,1561410,215700,832930
Bristol Park Hospital Utawala,,,85120,13440,58240,,76160,80640
Bristol Park Hospital(Machakos),,,1313920,1240100,106500,1188900,,1348750
Brother Andre Medial Centre,,,304640,226960,50000,223440,,513920
Browns Memorial Medical Centre,"110,480",58080,154400,171840,68240,333360,,508320
BUCHANGU DISPENSARY,,,10000,20000,10000,50000,,50000
BUDALANGI DISPENSARY,,,10000,40000,,10000,10000,30000
Budonga Dispensary,,,,10000,,,,10000
Buduta Dispensary,,,,20000,,10000,,
Bugina Health Centre,"43,440",20000,70000,13440,20000,34480,28960,22000
BUGUTA HEALTH CENTRE,,,5000,5000,,30000,,35000
BUJUKHALIFA HEALTHCARE LIMITED,,,,,2056240,755440,,761280
BUKAYA HEALTH CENTRE,,,,40000,10000,30000,,50000
Bukaya Medical Centre,"67,200",2240,97360,114240,71680,230720,4480,287600
Bukembe Dispensary,,,25000,10000,40000,60000,,110000
Bukokholo Dispensary,,,30000,,20000,20000,,80000
Bukura Health Centre,,,140000,50000,30000,30000,,40000
Bulla Mpya Nursing Home,"437,720",502920,1654160,2020960,2326800,2874560,1817680,1079360
Bulondo Dispensary,,,181520,118960,47920,197040,52080,219440
BUMALA B HEALTH CENTRE,,,64640,10000,10000,173440,,114480
BUMULA SUB COUNTY HOSPITAL,,,110458,193760,70620,637840,,558240
Buna Nursing Home,"136,640",41940,575680,253120,309120,781760,,878080
Buna Sub-County Hospital,"90,080",,580000,104000,157840,,40160,
BUNGOMA CHILDRENS CLINIC,,,,40320,50400,174720,,144480
Bungoma County Referral Hospital,1874110,947655,6194370,849640,3919600,7455600,,4599540
BUNGOMA WEST HOSPITAL,,2343719,3974433,1949957,1025255,3663476,631371,2909970
Bunyore Medical Clinic,"78,400",22400,315680,156800,100800,257600,4480,474880
BURA SUB-COUNTY HOSPITAL,,,191440,133920,137520,342400,6800,100000
Bura Tana nursing home,"147,840",,356160,786240,413280,2318400,,2089920
Burabor Dispensary,,,10000,60000,10000,140000,,70000
BURGUBUD NURSING HOME LTD,,,,,1882960,1527680,,1626080
Burmayo Dispensary,,,50000,50000,50000,350000,,220000
Bushira Medical centre,"137,375",,117360,302160,191420,586180,,369600
Bushiri Health Centre,,,250000,140000,40000,130000,55680,492240
BUSIA COUNTY REFERRAL HOSPITAL,,,,,3397760,7217421,135960,1898400
Busle Nursing Home,"393,120",134400,621600,672000,241920,1092000,,1609440
BUTE NURSING HOME,"97,440",,1344000,691880,487200,1643040,,1700160
Bute Sub county Hospital,"955,520",13440,1116160,822240,137680,1987200,,1882160
Butere Sub County Hospital,"316,340",23520,918020,753970,407597,1318880,9160,1912260
BUTIELI DISPENSARY,,,,10000,,,,
BUTINGO DISPENSARY,,,277650,,,,,
Buyangu Health Centre,15680,,129760,89440,22240,40160,183520,82400
BWAGAMOYO DISPENSARY,,,90000,,,20000,,
Calvary Hill Hospital,"519,680",,562800,11760,23520,426560,,88400
Calvary Hope Medical Centre,"76,160",113960,378560,421120,105280,315840,465920,842240
Camel Hospital,"59,280",,571680,171200,47040,556240,,873600
CAMPEL MEDICAL CENTRE,,,,91840,147840,145600,,206080
Cana Family Life Clinic,"133,438",10000,552560,201520,113760,567360,,604240
CANA HOSPITAL,,,,251800,370740,85710,,100260
CANCER CARE KENYA LIMITED,,1280700,3059700,1740800,829500,2743300,801400,3890800
CANCER CARE KENYA LIMITED UAP OLD MUTUAL TOWER,10889869,3126912,16798951,3782573,2527884,3279340,9621122,
Cannan Hospital and Wellness Center,,,,404080,107520,237280,,541520
Capital Memorial Nursing Home - Kathonzweni,,2240,71680,,47040,155600,,84960
Cardinal Nursing Home Limited,69440,,156800,216080,50320,365120,,589440
Care And Cure Hospital,"2,257,800",1704000,42600,,,,,24660
CARE HOSPITAL LTD,,,,,966860,2820880,,1075580
CAREGIVERS COMMUNITY HOSPITAL LTD,,,,89600,17920,293720,,385280
Caritas community hospital,"377,360",154125,317200,274720,236320,784160,,608720
Carlifonia Medical Centre,"134,400",9900,168000,159040,127680,716800,,517440
CATHOLIC DISPENSARY NGARE MARA,,,,,110000,10000,,140000
CEDAR HOSPITAL,,2532271,3829750,1348440,636850,2473630,318570,3671116
Center View Medical Health Care,,,13440,138720,47040,108560,,169920
CENTRAL MEMORIAL HOSPITAL LTD,,,,2757290,3672950,2201210,,1867730
Centres For Community Health Care Access,"10,000",,40000,40000,,40000,10000,30000
CGTRH VIKWATANI OUTREACH CENTRE,"20,000",,30000,30000,,80000,,80000
CHAKAMA DISPENSARY,,,40000,,20000,20000,,30000
Chalbeat Medical Centre,,,,,185920,591360,,477120
CHALIANA MEDICAL CENTRE,,,,29120,,33600,4480,21200
Chamalo Medical Clinic,,,57040,35840,6720,112000,,152320
CHAMUKA DISPENSARY,,10000,,,,,,
CHARITY MEDICAL CENTRE,,,,,2076590,4754949,,1620660
Chashleedah Annex Medical Center,,,120960,60480,,,284480,
Chebangang Health Centre,,,120000,,,,30000,
Chebiemit Sub county Hospital,"186,800",210000,563200,275880,256040,600680,106880,625360
CHEBORGEI HEALTH CENTRE,"120,000",10000,120000,70000,20000,190000,,220000
Chebororwa Health Centre,90000,50000,201000,130000,50000,250000,50000,340000
Chebukaka Health Centre,"288,240",,1653240,1560680,816320,3262160,,1637240
Chebunyo Dispensary,,,50000,20000,20000,290000,,140000
CHECHAN DISPENSARY,,,10000,,,,,
Cheera Health Center,,,201600,219520,103040,448000,,560000
Chegilet Health Centre,"10,000",10000,40000,20000,,40000,10000,10000
Chegulo Dispensary,,,20000,20000,,10000,10000,10000
CHEKALINI DISPENSARY,,,20000,60000,20000,60000,10000,100000
Cheldeb Medical Clinic,"42,560",,379600,217320,190400,516960,,561040
Chemaner Dispensary (Bomet),,,118720,215040,80640,253120,,114240
CHEMBULET HEALTH CENTRE,,,30000,40000,10000,10000,10000,10000
Chemelil GOK Health Centre,,,20000,,,10000,20000,10000
Chemin Medical Clinic,47040,,154560,185920,100800,414400,143360,766080
Chemolingot District Hospital,,,123600,57920,12240,100480,,200640
CHEMOSOT HEALTH CENTRE,"30,000",10000,70000,70000,10000,70000,,90000
CHEMWA BRIDGE DISPENSARY,,,10000,,,,10000,10000
Chemworor Health Centre,"10,500",10000,10000,20000,,,20000,
CHEPARERIA SUB DISTRICT HOSPITAL,,,6720,46880,63440,246880,,243600
Chepchabas Dispensary,,,10000,,20000,,,
CHEPKANGA HEALTH CENTRE,,,,10000,40000,30000,,90000
Chepkigen Health Centre,"190,000",,250000,110000,50000,30000,90000,50000
Chepkorio Health Centre,,,72240,86620,10000,110000,30000,120000
Chepkube Dispensary,,,50000,50000,,70000,,150000
Cheplanget Dispensary,"10,000",,,,,,,
CHEPSOO MEDICAL CENTRE,,,306900,,,,,
Cheptais Sub County Hospital,834960,364940,5425280,1047920,1626240,7157360,77280,6120880
Cheptalal Sub-County Hospital,,,90000,,20000,250000,10000,210000
CHEPTERWAI SUB-DISTRICT HOSPITAL,"10,000",,10000,30000,90000,233640,,166720
Cheptongei Health Centre,"20,000",,20000,20000,,30000,20000,10000
CHEPTULU DISPENSARY,,,,10000,,,,20000
CHEPTUR HEALTH SERVICES,,,,,208320,721280,,269840
Cheramei Dispensary,"20,000",,50000,20000,10000,10000,10000,30000
CHERANGANY SUB-COUNTY HOSPITAL,,,30000,100000,,220080,,113440
Chesongoch Health Centre,"376,038",,831118,772400,443200,1539880,,1844416
Chiga Sub County Hospital,,,10000,,,,10000,
Chiromo Hospital Group-Muthithi,"63,840",,43680,3360,,,,
CHIROMO MENTAL HEALTH HOSPITAL LIMITED-NYALI,,,,13440,,147840,,69440
CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOSPITAL LIMITED,,,,,7784992,2532220,888500,814620
CHOMBELI HEALTH CENTRE,,,30000,50000,,120000,,140000
CHRISTAMARIANNE MISSION HOSPITAL (ASUMBI),,,,,17828533,12323460,,4998260
Christian Community Services Wang'uru Dispensary,"64,960",,250880,253120,100800,396480,47040,528640
Chuka Cottage Hospital,"880,240",273080,2135400,872120,894600,1948080,289920,2591280
Chuka County Refferal Hospital,3250690,1189759,5839189,2277810,1215620,3876820,,5582220
Chuka Nursing Home,23520,,271920,117600,87360,208080,191280,138560
CHUKURA DISPENSARY,,,10000,10000,10000,,,10000
Chulaimbo County Hospital,,,267200,116880,60000,270240,,300800
CHUMVI DISPENSARY,,,5450,10000,,42240,,40000
Chwele Sub County Hospital,,,195620,20160,43680,211040,660,374720
CITY EYE HOSPITAL LIMITED-NYERI,,,44800,642880,325920,44800,112000,
CKS DIALYSIS CENTRE - BURUBURU,,,,,2928750,4929800,,1491000
CKS Dialysis Centre Pangani,1757250,1842450,3770100,1352550,585750,2161950,670950,3163050
Clastan medical services,"29,120",,80640,49280,11200,56000,11200,380800
Clearview Specialist Medicare,22400,52400,22400,103040,13440,199360,,203840
COAST GENERAL TEACHING &REFFERAL HOSPITAL,8557867,1600306,27877370,9397392,3064130,3599129,4181942,13635334
Coast General Teaching and Referral Hospital (Chaani Outreach Centre),,,60000,10000,30000,40000,,50000
Comfy Health Care Ltd,,,17920,20160,4480,33600,1040,49280
Comrade Nurising Home,"651,840",231680,730240,564480,369600,1332800,210560,1449280
Connection Health Services Limited,,,,,58240,246400,,89600
CONNECTION HEALTH SERVICES LIMITED - MALABA TOWN,,,,,17920,190400,,17920
Consolata Hospital Gitoro,"526,320",3860,1251440,405840,60480,592400,303600,518560
CONSOLATA HOSPITAL MATHARI,18548189,3877295,23319023,8895485,3225050,11962629,5949279,12586300
Consolata Mission Hospital,4352760,1176864,8057520,4292640,2169440,8878320,,8788280
COPTIC HOSPITAL - NGONG ROAD,18364415,2432533,12429430,3391700,2491910,4495204,3810924,9720560
Corner B Hospital Limited,"325,920",16800,584640,393120,682080,1512000,,1747200
Cottolengo Mission Hospital,"334,512",,2021357,1145680,913760,2083360,768320,2012320
County Medical Centre - Embu Ltd,3196330,1584070,4990210,2258220,1212890,4014010,936300,5495780
Cowdray Dispensary,"10,000",,50000,,10000,10000,20000,10000
Crescent Community Hospital,,,,4939206,324800,4695040,,
CROWN SPECIALIST CENTRE,"2,605,530",66570,3041320,1855600,155200,1946400,,273760
Crystal Cottage Hospital,,,455280,502160,177840,1330160,299600,466560
Cure (AIC) International Hospital,"313,600",313600,2625080,1197080,50400,524160,981120,86240
CUSTOM MEDICAL CENTER,,,,106400,219520,1685520,,222740
D Comboni Mission,,,32400,113600,78080,89120,13440,49120
DADAAB DISTRICT HOSPITAL,,,161040,,20160,245280,,70400
Dadaab Medical Clinic,,,17920,,,11200,20160,40320
Dagoretti Subcounty Hospital Mutuini,"433,040",190000,1424240,1288240,197200,2579040,,1569200
