Provider,Amount
57 BUNGOMA COUNTY REFERRAL HOSPITAL,"17,846,940.00"
58 THE THIKA SAM'S HOSPITAL(ANNEX) LTD,"17,713,120.00"
59 FRIENDS CHURCH SABATIA EYE HOSPITAL,"17,527,660.00"
60 MACHAKOS COUNTY REFERRAL HOSPITAL,"17,478,861.00"
61 KISUMU COUNTY REFERRAL HOSPITAL,"17,465,600.00"
62 CHELYMO MEDICAL CENTRE,"17,345,440.00"
63 WEBUYE SUB-COUNTY HOSPITAL,"17,102,160.00"
64 JUMUIA FRIENDS HOSPITAL KAIMOSI,"16,845,580.00"
65 HOMABAY COUNTY REFERRAL HOSPITAL,"16,839,810.00"
66 ASTER HEALTHCARE LIMITED,"16,542,157.00"
67 THE AGA KHAN HOSPITAL MOMBASA,"16,473,931.00"
68 NYANGENA HOSPITAL LTD,"16,278,400.00"
69 RANGWE SUB-COUNTY HOSPITAL,"16,119,200.00"
70 KAPLONG MISSION HOSPITAL,"16,112,460.00"
71 CHRISTAMARIANNE MISSION HOSPITAL (ASUMBI),"15,799,440.00"
72 LIONS SIGHTFIRST EYES HOSPITAL,"15,792,240.00"
73 KENOL HOSPITAL LTD,"15,787,840.00"
74 THE NAKURU SPECIALIST HOSPITAL LTD(CANCER &amp; INFECTIOUS DESE,"15,595,440.00"
75 THE NAIROBI HOSPITAL,"15,557,943.00"
76 PREMIER HOSPITAL,"15,257,463.93"
77 MURANG'A COUNTY REFERRAL HOSPITAL,"15,094,161.00"
78 SILOAM HOSPITAL LIMITED,"15,078,126.99"
79 MT. KENYA ACK HOSPITAL,"15,025,120.00"
80 LIFECARE HOSPITAL LIMITED-MERU,"14,996,358.00"
81 KENYATTA NATIONAL HOSPITAL - OTHAYA,"14,800,750.00"
82 BOGOTA-BAG IMAGING AND NURSING HOME,"14,561,520.00"
83 MOMBASA BREEZE HOSPITAL(MBH) LIMITED,"14,413,220.00"
84 GUARDIAN HOSPITAL LIMITED,"14,390,330.00"
85 LIFECARE HOSPITALS BUNGOMA LTD,"14,350,460.00"
86 IMARA HOSPITAL EMBU,"14,301,920.00"
87 QASIMS HOSPITAL LIMITED,"14,265,240.00"
88 OASIS SPECIALIST HOSPITAL,"14,176,920.00"
89 KERICHO COUNTY REFFERAL HOSPITAL,"14,114,449.00"
90 LIFECARE HOSPITAL LIMITED-KIKUYU,"13,660,733.25"
91 AIC LITEIN HOSPITAL,"13,338,789.00"
92 KERUGOYA MEDICAL CENTRE,"13,299,345.00"
93 NAZARETH HOSPITAL,"13,116,740.00"
94 PALMCARE SINAI HOSPITAL,"13,111,360.00"
95 FOUNTAIN HEALTHCARE LIMITED,"12,842,800.00"
96 MP SHAH HOSPITAL,"12,792,984.00"
97 MT. LONGONOT MEDICAL SERVICES,"12,648,320.00"
98 MARY IMMACULATE HOSPITAL MWEIGA,"12,535,075.00"
99 ITEN COUNTY REFERRAL HOSPITAL,"12,511,310.00"
100 KOMAROCK MODERN HEALTHCARE UTAWALA,"12,415,490.00"
101 SUBA SUB-COUNTY HOSPITAL,"12,246,880.00"
102 ST. ANTHONY CATHOLIC HOSPITAL,"12,180,920.00"
103 MAKUENI COUNTY REFERRAL HOSPITAL,"12,135,003.00"
104 NYAHURURU COUNTY REFERRAL HOSPITAL,"12,082,919.00"
105 ROBINS HEALTHCARE LIMITED,"11,957,410.00"
106 NANYUKI COUNTY REFERRAL HOSPITAL,"11,903,200.00"
107 SIAYA COUNTY REFERRAL HOSPITAL,"11,832,120.00"
108 MANDERA WELLNESS CENTRE ANNEX CO. LIMITED,"11,364,640.00"
109 BETHESDA HEALTH CARE SERVICES COMPANY LIMITED,"11,165,130.69"
110 MAXICARE SUNRISE LIMITED HOSPITAL,"11,140,960.00"
111 SANTAMORE SPECIALIZED SURGICAL HOSPITAL LIMITED,"10,967,378.00"
112 WESTLIFE HOSPITAL LIMITED,"10,962,560.00"
113 BWARE COMPLEX HEALTHCARE LIMITED,"10,768,560.00"
114 JAMII HOSPITAL KARATINA,"10,691,200.00"
115 GOODWILL COTTAGE HOSPITAL,"10,681,680.00"
116 BAYLEAF HEALTH CENTRE,"10,646,170.00"
117 LIFECARE HOSPITAL MIGORI,"10,555,540.00"
118 SOUTHRIFT HOSPITAL LIMITED,"10,445,182.00"
119 MOMBASA CANCER CENTRE,"10,398,503.00"
120 EYE AND U OPTHALMIC LTD,"10,364,400.00"
121 GRAND ROYALCARE MEDICAL LIMITED,"10,295,360.00"
122 LONDON MEDICAL &amp; DIALYSIS CENTRE LIMITED,"10,208,348.00"
123 KAKAMEGA ORTHOPAEDIC HOSPITAL,"10,116,200.00"
124 BLUELIGHT HOSPITAL AND DIAGNOSTIC CENTRE LIMITED,"10,033,720.00"
125 ST. FRANCIS COMMUNITY HOSPITAL,"9,971,378.00"
126 NAIVASHA SUB-COUNTY HOSPITAL,"9,911,880.00"
127 BLUE WHALE MEDICAL LTD,"9,911,760.00"
128 CITY EYE HOSPITAL,"9,905,480.00"
129 MSAMBWENI COUNTY REFERRAL HOSPITAL,"9,823,860.00"
130 MBAGATHI COUNTY REFERRAL HOSPITAL,"9,724,380.00"
131 THE WEBUYE HOSPITAL LIMITED,"9,677,120.00"
132 ST. THOMAS MATERNITY HOSPITAL,"9,637,200.00"
133 MASABA SUB-COUNTY HOSPITAL,"9,555,320.00"
134 ST. JOSEPHS MISSION HOSPITAL MIGORI,"9,528,140.00"
135 THE LIFELINE GROUP OF HOSPITALS LIMITED KAHAWA WENDANI,"9,485,520.00"
136 MERU JORDAN HOSPITAL LTD,"9,468,964.00"
137 LUMINO NURSING AND MATERNITY HOME,"9,416,880.00"
138 ROYAL MEDICAL HOSPITAL AND MATERNITY HOME LIMITED,"9,307,360.00"
139 ELDORET HOSPITAL,"9,296,910.00"
140 MWINGI MEDICARE CENTRE-LTD,"9,259,540.00"
141 SHAMAAL HOSPITAL-BANISA LIMITED,"9,088,400.00"
142 THE AGA KHAN HOSPITAL - KISUMU,"9,032,489.00"
143 ST CATHERINE'S ICHUNI MISSION HOSPITAL,"8,975,940.00"
144 HEALTH WAVE MEDICAL SERVICES LIMITED-HOSPITAL,"8,959,670.00"
145 CU-MEYR MEDICAL CENTER LIMITED,"8,910,720.00"
146 AIC CURE INTERNATIONAL HOSPITAL,"8,881,020.00"
147 TRANS MARIGOLD HOSPITAL,"8,782,640.00"
148 THE SOUTHGATE HOSPITAL,"8,748,460.00"
149 KITENGELA MEDICAL SERVICES,"8,711,280.00"
150 BISHOP U. J. KIOKO CATHOLIC HOSPITAL,"8,669,850.00"
151 EAGLEVIEW MEDICAL SERVICES LIMITED,"8,637,520.00"
152 TOM MBOYA MEMORIAL LEVEL 4 HOSPITAL,"8,621,600.00"
153 BRIMAXA HOSPITAL LIMITED,"8,544,360.00"
154 JOCHAM HOSPITAL LTD,"8,532,247.39"
155 FILYNE CHIMA HOSPITAL LIMITED,"8,477,280.00"
156 KENDU ADVENTIST HOSPITAL,"8,442,570.00"
157 MAUA METHODIST HOSPITAL,"8,419,530.00"
158 NEPHRO MED LIMITED,"8,382,093.00"
159 MWINGI SUB-COUNTY HOSPITAL,"8,337,120.00"
160 GARISSA COUNTY REFERRAL HOSPITAL,"8,325,190.00"
161 REALE HOSPITAL UTAWALA LIMITED,"8,267,474.00"
162 BALANCE LIFE HOSPITAL LIMITED,"8,252,160.00"
163 PORT-REITZ SUB COUNTY HOSPITAL,"8,191,840.00"
164 BUNGOMA WEST HOSPITAL,"8,186,987.00"
165 NORTHGATE HOSPITAL LIMITED,"8,128,560.00"
166 NORTHERN SPECIALISTS HOSPITAL LIMITED,"8,109,120.00"
167 ALFAROOQ HOSPITAL LTD,"8,074,639.00"
168 AYALE MEDICARE AND NURSING HOME,"8,057,640.00"
169 NAMO HOSPITAL LIMITED,"7,990,505.00"
170 MARAGUA SUB-COUNTY HOSPITAL,"7,988,059.00"
171 A.I.C GITHUMU MISSION HOSPITAL,"7,986,580.00"
172 TOWNSHIP COTTAGE HOSPITAL LIMITED,"7,956,400.00"
173 ST. LAWRENCE HOMA BAY HOSPITAL,"7,944,080.00"
174 PLAZA SPECIALIST HOSPITAL LIMITED,"7,941,948.00"
175 VOLUNTEER NURSING HOME LIMITED,"7,835,520.00"
176 NYANCHWA ADVENTIST MISSION HOSPITAL,"7,792,720.00"
177 THE BALOZI HOSPITAL LIMITED,"7,739,770.00"
178 COTTOLENGO MISSION HOSPITAL,"7,594,200.00"
179 ST. TERESA HOSPITAL KIAMBU,"7,584,638.00"
180 THE KITUI HOSPITAL MATERNITY &amp; NURSING HOME,"7,520,920.00"
181 THE CHERANGANY HOSPITAL LIMITED,"7,466,450.00"
182 DIANI BEACH HOSPITAL,"7,465,350.00"
183 MOTHER ANGELA HURUMA HOSPITAL,"7,442,161.00"
184 ST. LEONARDS HOSPITAL,"7,414,010.00"
185 RAPHA DIALYSIS AND DIAGNOSTIC CENTRE,"7,380,450.00"
186 NYAMBENE SUB-COUNTY HOSPITAL,"7,370,620.00"
187 DR AGARWALS EYE HOSPITAL,"7,322,160.00"
188 MODERN ABERDARE VIEW HOSPITAL LIMITED,"7,306,480.00"
189 ALPHA HILL MEDICAL CENTER LIMITED,"7,259,959.00"
190 KAPKATET SUB-COUNTY HOSPITAL,"7,257,070.00"
191 ST. MATIA MULUMBA HOSPITAL,"7,250,400.00"
192 RAPHA HOSPITAL &amp; CLINICS,"7,237,030.00"
193 THE KAREN HOSPITAL LIMITED,"7,226,680.00"
194 TABAKA MISSION HOSPITAL,"7,225,700.00"
195 SYNERGY CLINICS LIMITED,"7,206,266.00"
196 AL-BASRAH HOSPITAL LTD,"7,146,880.00"
197 MAKINDU SUB-COUNTY HOSPITAL,"7,138,458.00"
198 ST. BRIGITTAS CATHOLIC HOSPITAL,"7,123,320.00"
199 CANCER CARE KENYA LIMITED-UAP OLD MUTUAL TOWER,"7,116,872.00"
200 USHIRIKA ELITE HOSPITAL LIMITED,"7,100,800.00"
201 CHIROMO MENTAL HEALTH HOSPITAL -NAIROBI LIMITED,"7,063,840.00"
202 ITANDO MISSION OF HOPE AND HEALTHCARE,"7,053,560.00"
203 KAGIO HOSPITAL LIMITED,"6,990,850.00"
204 CHUKA COUNTY REFERRAL HOSPITAL,"6,954,480.00"
205 KERUGOYA FORTIS MEDICAL AND CANCER CENTRE,"6,938,680.00"
206 AL AHLI NURSING HOME - RHAMU,"6,917,120.00"
207 SILVERCARE MEDICAL CLINIC LIMITED,"6,904,380.00"
208 TSAVO COMPREHENSIVE MEDICAL ANNEX,"6,890,528.00"
209 OLIVEHILL SURGICAL CENTRE,"6,885,200.00"
210 ELDAMA RAVINE NURSING HOME,"6,862,160.00"
211 ST. ORSOLA MISSION HOSPITAL,"6,858,560.00"
212 AVENUE HOSPITAL- KISUMU,"6,855,627.00"
213 OBANGA HEALTH CENTRE,"6,812,720.00"
214 TAWFIQ HOSPITAL,"6,743,620.00"
215 NDHIWA SUB-COUNTY HOSPITAL,"6,738,160.00"
216 BWANA NI MWEMA MEDICAL CENTRE,"6,717,079.00"
217 NEW BUSIA MATERNITY &amp; NURSING HOME,"6,678,720.00"
218 AVENUE HOSPITAL,"6,656,832.72"
219 ROYALSTAR FAMILY HOSPITAL LIMITED,"6,594,480.00"
220 JUWFIAH MEDICAL CENTRE LIMITED-TRANSMARA,"6,549,960.00"
221 EYETECH MEDICAL CENTRE MANDERA LTD,"6,532,800.00"
222 NABUALA HOSPITAL,"6,490,450.00"
223 MOTHER KEVIN CATHOLIC HOSPITAL,"6,449,839.00"
224 CONSOLATA HOSPITAL KYENI,"6,434,710.00"
225 MEPHI HEALTH SERVICES,"6,415,280.00"
226 MODOGASHE NURSING HOME,"6,390,720.00"
227 SHAMAAL HOSPITAL,"6,387,220.00"
228 GAICHANJIRU CATHOLIC HOSPITAL,"6,310,359.00"
229 ELDAMA RAVINE SUB-COUNTY HOSPITAL,"6,273,480.00"
230 KOMAROCK MODERN HEALTHCARE- KATHWANA,"6,268,510.00"
231 THE MOMBASA HOSPITAL ASSOCIATION,"6,244,796.00"
232 LAS ANO HEALTHCARE LIMITED,"6,211,520.00"
233 ST. SCHOLASTICA UZIMA HOSPITAL,"6,192,207.00"
234 ELDO EYE CENTER LIMITED,"6,154,396.00"
235 KILIFI COUNTY REFERRAL HOSPITAL,"6,145,850.00"
236 MOTHER FRANCISCA MISSION MATERNITY AND HEALTH CENTRE,"6,120,780.20"
237 MEWA HOSPITAL MOMBASA,"6,091,443.52"
238 MWEA MEDICAL CENTRE,"6,060,040.00"
239 MEDITEST DIAGNOSTIC SERVICES LTD,"6,055,966.00"
240 SCION HOSPITAL LIMITED,"6,023,920.00"
241 KISII SPECIALIST HOSPITAL LTD,"6,016,260.00"
242 GERMAN MEDICAL CENTER MACHAKOS,"5,915,119.00"
243 EYE &amp; U NAKURU LIMITED,"5,874,400.00"
244 AL MAIDAH NURSING HOME LIMITED,"5,873,280.00"
245 THE WHITE CRESCENT HOSPITAL LIMITED,"5,867,300.00"
246 KARATINA SUB-COUNTY HOSPITAL,"5,858,780.00"
247 MAMA LUCY KIBAKI HOSPITAL,"5,854,790.00"
248 RAPOGI COMMUNITY &amp; MATERNITY HEALTH CENTRE,"5,800,017.00"
249 ST. MARYS MISSION HOSPITAL NAIROBI,"5,783,722.00"
250 BUSIA COUNTY REFERRAL HOSPITAL,"5,772,400.00"
251 ABDUL-AZIZ MEDICAL CENTRE,"5,716,480.00"
252 RAVINNA HOSPITAL LIMITED,"5,704,160.00"
253 MANDERA WELLNESS CENTRE,"5,690,720.00"
254 FRIENDS LUGULU HOSPITAL,"5,686,580.00"
255 TAYYIBA MEDICAL CENTRE,"5,685,200.00"
256 NYANDIWA BAPTIST CHURCH DISPENSARY,"5,682,466.00"
257 RACHUONYO COUNTY HOSPITAL,"5,673,040.00"
258 MUNGOMA HOSPITAL,"5,653,228.00"
259 JESMO HOSPITAL,"5,644,640.00"
260 RADIANT GROUP HOSPITAL LIMITED PANGANI,"5,606,498.00"
261 THE HOPKINS CRESCENT HOSPITALS LIMITED,"5,588,811.00"
262 MATATA NURSING HOME,"5,586,800.00"
263 JABII EAST NURSING HOME LTD,"5,530,560.00"
264 MBOONI SUB COUNTY HOSPITAL,"5,479,520.00"
265 MIKINDANI HOSPITAL,"5,425,450.00"
266 STAR SPECIALIST HOSPITAL LIMITED,"5,406,060.00"
267 MOUNT KENYA SUB-COUNTY HOSPITAL,"5,347,640.00"
268 OASIS DOCTORS PLAZA KAKAMEGA LIMITED,"5,326,740.00"
269 OPTIMAL FAMILY LIMITED,"5,289,270.00"
270 MARY IMMACULATE KERUGOYA HOSPITAL,"5,252,339.00"
271 PANDYA MEMORIAL HOSPITAL,"5,248,664.00"
272 INNOVATION EYE CENTRE LTD,"5,229,800.00"
273 ATHI RIVER SHALOM COMMUNITY HOSPITAL,"5,224,720.00"
274 WHITEROSE MEDICAL CENTRE,"5,182,720.00"
275 KISUMU SPECIALISTS HOSPITAL,"5,159,756.00"
276 PROVINCIAL GENERAL HOSPITAL ANNEX NAKURU,"5,128,140.00"
277 LONGISA COUNTY REFERAL HOSPITAL,"5,124,720.00"
278 EUROCITY MEDICAL CENTRE SINDO,"5,111,680.00"
279 KORY FAMILY HOSPITAL KIMILILI,"5,105,808.00"
280 WAMALWA KIJANA TEACHING AND REFERRAL HOSPITAL,"5,098,660.00"
281 KOMBEWA SUB-COUNTY HOSPITAL,"5,090,200.00"
282 KIRIAINI MISSION HOSPITAL,"5,068,294.00"
283 KIMININI COTTAGE MISSION HOSPITAL,"5,052,279.00"
284 MAKONGENI LEVEL 4 HOSPITAL,"5,035,280.00"
285 EAGLE HEALTH AND CLINIC SERVICES,"5,016,400.00"
286 MOUNT OLIVES MEDICAL CENTRE,"5,007,440.00"
287 THE SAGANA COTTAGE HOSPITAL,"4,998,840.00"
288 TERMARY HEALTHCARE,"4,907,477.00"
289 GYNOCARE WOMENS AND FISTULA HOSPITAL LTD,"4,886,160.00"
290 OASIS HEALTH SIAYA,"4,842,080.00"
291 EMBU CHILDREN'S CLINIC,"4,823,924.89"
292 KIRINYAGA TREATMENT CENTRE,"4,805,840.00"
293 BLESSED TALBOT MEDICAL CENTRE LTD,"4,804,800.00"
294 KHAIRAT MEDICAL CENTRE LIMITED,"4,776,510.00"
295 OLJABET HOSPITAL,"4,764,800.00"
296 MASHAALLAH NURSING HOME,"4,761,120.00"
297 BEYONDSCOPE HOSPITAL,"4,754,160.00"
298 TRANQUIL MED CENTRE LIMITED,"4,747,680.00"
299 OASIS NTUNYIGI HOSPITAL,"4,703,420.00"
300 A.C.K. MASENO HOSPITAL,"4,699,440.00"
301 GARISSA NORTH NURSING HOME,"4,698,000.00"
302 MERCYLITE HOSPITAL LIMITED,"4,661,920.00"
303 KISEGI SUB-COUNTY HOSPITAL,"4,646,880.00"
304 TOP CARE ORTHOPAEDIC AND TRAUMA CENTRE LIMITED,"4,644,640.00"
305 EL-ADOW NURSING HOME AND MATERNITY SERVICES LIMITED,"4,630,080.00"
306 OASIS DOCTORS PLAZA WEBUYE LIMITED,"4,626,560.00"
307 SAMBURU COUNTY TEACHING &amp; REFERRAL HOSPITAL,"4,588,400.00"
308 ST. MARYS MISSION HOSPITAL MUMIAS,"4,587,640.00"
309 MUKURWE-INI SUB-COUNTY HOSPITAL,"4,575,620.00"
310 LISA HOSPITAL LIMITED,"4,570,397.00"
311 ORTUM MISSION HOSPITAL,"4,548,880.00"
312 GARISSA ENT MEDICAL CENTRE,"4,547,760.00"
313 CHEPTAIS SUB-COUNTY HOSPITAL,"4,530,960.00"
314 JUWFIAH MEDICAL CENTRE LIMITED,"4,527,040.00"
315 MOI VOI COUNTY REFERRAL HOSPITAL,"4,526,600.00"
316 ST. JOHN 'S DIVINE NURSING HOME NYERI,"4,505,920.00"
317 BIBLE FAITH CHURCH MEDICAL SERVICES,"4,461,580.00"
318 JANICE CHOLERTON MEDICAL &amp; CANCER CENTRE,"4,427,760.00"
319 LADOPHARMA NURSING HOME LIMITED,"4,414,880.00"
320 MALINDI SUB-COUNTY HOSPITAL,"4,408,830.00"
321 MESWO MEDICAL SERVICES LIMITED,"4,394,880.00"
322 HANANO NURSING HOME LIMITED,"4,388,160.00"
323 TRENYA HOSPITAL LIMITED,"4,370,240.00"
324 KAJIADO COUNTY REFERRAL HOSPITAL,"4,367,980.00"
325 THE HEALCARE HOSPITAL LIMITED,"4,357,920.00"
326 SORI LAKESIDE HOSPITAL,"4,341,779.00"
327 TANAKA NURSING HOME BUSIA,"4,317,039.00"
328 RENAL ROAD DIALYSIS CLINIC,"4,313,250.00"
329 OUR LADY OF LOURDES MUTOMO HOSPITAL,"4,309,440.00"
330 PUMWANI MATERNITY AND REFERRAL HOSPITAL,"4,308,320.00"
331 THE CAREPOINT DEVINE HOSPITAL,"4,295,760.00"
332 LODWAR COUNTY REFERRAL HOSPITAL,"4,284,440.00"
333 OKITTA NURSING AND MATERNITY HOME,"4,277,140.00"
334 ARROWS CARE MEDICAL CENTER,"4,271,680.00"
335 LIPTON CENTRAL HOSPITAL,"4,271,040.00"
336 JOYLIGHT HOSPITAL,"4,260,240.00"
337 KARUMANDI MEDICAL CENTRE,"4,251,520.00"
338 KENDU SUB-COUNTY HOSPITAL,"4,205,760.00"
339 ISIOLO COUNTY REFERRAL HOSPITAL,"4,191,200.00"
340 SANAAG MEDICAL CENTER LIMITED,"4,186,560.00"
341 THE ALASLAND HOSPITAL LTD,"4,177,600.00"
342 KOMAROCK MODERN HEALTHCARE -CHUKA,"4,168,040.00"
343 WESTLANDS LASER EYE HOSPITAL LIMITED,"4,162,926.00"
344 AFRICA INUKA HOSPITAL LTD- MILIMANI,"4,158,885.00"
345 COUNTY MEDICAL CENTRE EMBU LTD,"4,139,680.00"
346 ST JOSEPH SHELTER OF HOPE MISSION HOSPITAL,"4,115,820.00"
347 KAPSABET COUNTY REFERRAL HOSPITAL,"4,055,560.00"
348 THE MATUU HOSPITAL LIMITED,"4,025,600.00"
349 ITIERIO MATERNITY AND NURSING HOME,"3,989,440.00"
350 ASTER POINT HOSPITAL LTD,"3,980,680.00"
351 TRINITY MISSION HOSPITAL LESERU,"3,980,160.00"
352 HAWI FAMILY HOSPITAL,"3,968,480.00"
353 MUHORONI SUB-COUNTY HOSPITAL,"3,960,160.00"
354 GILGIL SUB-COUNTY HOSPITAL,"3,950,350.00"
355 MARIAKANI SUB-COUNTY HOSPITAL,"3,946,800.00"
356 LOITOKITOK SUB-COUNTY HOSPITAL,"3,942,640.00"
357 OASIS DOCTORS PLAZA MIGORI,"3,908,040.00"
358 NEW IKONGE MEDICAL CENTRE,"3,895,360.00"
359 TIGONI SUB-COUNTY HOSPITAL,"3,888,037.00"
360 WANTE NURSING HOME LIMITED,"3,866,240.00"
361 SIAYA MEDICAL CENTRE,"3,820,160.00"
362 SAMAAD HOSPITAL,"3,798,560.00"
363 GUCHA COTTAGE MATERNITY &amp; NURSING HOME LTD,"3,793,440.00"
364 KASGUNGA COMMUNITY CLINIC,"3,778,880.00"
365 CANCER CENTER OF EXCELLENCY,"3,766,043.00"
366 PHADAM HOSPITAL COMPANY LTD - NASRA,"3,721,259.00"
367 NAIROBI MENTAL HEALTH SERVICES,"3,712,800.00"
368 CITY EYE HOSPITAL LIMITED,"3,707,120.00"
369 ST. JUDE NURSING HOME - GATUNDU,"3,702,560.00"
370 KATITO MEDICAL CENTRE-MBITA,"3,690,500.00"
371 ST. CAMILLUS MISSION HOSPITAL KARUNGU,"3,687,640.00"
372 BLUE VALLEY SPRINGS HOSPITAL LIMITED,"3,678,540.00"
373 NISSI MEDICAL CENTRE,"3,648,960.00"
374 SAMJOMEN HOSPITAL LIMITED,"3,633,260.00"
375 KANGUNDO SUB-COUNTY HOSPITAL,"3,627,200.00"
376 MAKINDU MEDICAL CENTRE,"3,612,560.00"
377 THE DERKHALE MEDICAL AND DIAGNOSTIC CENTRE LIMITED,"3,612,000.00"
378 NEW ELGON VIEW MEDICAL COTTAGE,"3,602,140.00"
379 SOMCARE HOSPITAL LTD,"3,597,947.00"
380 GATUNDU COUNTY REFERRAL HOSPITAL,"3,585,900.00"
381 THAGANA COUNTY MEDICAL CENTRE,"3,573,120.00"
382 KITENGELA SUB-COUNTY HOSPITAL,"3,547,760.00"
383 SISTO MAZZOLDI HOSPITAL,"3,539,320.00"
384 MEDIFORTE HOSPITAL LIMITED,"3,519,093.00"
385 RANGALA HEALTH CENTRE,"3,508,030.00"
386 CONSOLATA COTTAGE HOSPITAL CHUKA,"3,489,580.00"
387 RACHUONYO EAST SUB-COUNTY HOSPITAL,"3,487,600.00"
388 SUMMIT MEDICARE LIMITED NYANSIONGO,"3,476,740.00"
389 KIBWEZI SUB COUNTY HOSPITAL,"3,471,520.00"
390 ASAL DHALAT NURSING HOME LIMITED,"3,460,800.00"
391 NAIROBI ADVENTIST HOSPITAL,"3,447,800.00"
392 KALALIO NURSING HOME LIMITED,"3,444,640.00"
393 THE MAKUENI DOCTORS PLAZA LIMITED,"3,432,530.00"
394 VIHIGA COUNTY REFERRAL HOSPITAL,"3,431,990.00"
395 BARINGO COUNTY REFERRAL HOSPITAL,"3,391,010.00"
396 MAX CURE HOSPITALS LIMITED,"3,366,990.00"
397 HAVEN HOSPITAL BONDO,"3,351,113.77"
398 CRESCENT COMMUNITY HOSPITAL LIMITED,"3,337,600.00"
399 OAK TREE CENTRE FOR KIDNEY &amp; CHRONIC DISEASES LTD,"3,329,200.00"
400 BRIGHTWAY NURSING HOME LIMITED,"3,328,320.00"
401 NEWLIFE COTTAGE HOSPITAL LIMITED,"3,326,400.00"
402 GARISSA NURSING HOME,"3,320,680.00"
403 AVENUE HOSPITAL THIKA,"3,306,179.00"
404 THE RHAMONIA HOSPITAL LIMITED,"3,291,600.00"
